"lake","location","area in sq. miles"
"lake superior","mi-mn-wi-ontario","31700"
"lake huron","mi-ontario","23000"
"lake michigan","il-in-mi-wi","22300"
"lake erie","mi-ny-oh-pa-ontario","9910"
"lake ontario","ny-ontario","7340"
"great salt lake","utah","2117"
"lake of the woods","mn-manitoba-ontario","1485"
"iliamna lake","alaska","1014"
"lake oahe","nd-sd","685"
"lake okeechobee","florida","662"
"lake pontchartrain","louisiana","631"
"lake sakakawea","north dakota","520"
"lake champlain","ny-vt-quebec","490"
"becharof lake","alaska","453"
"lake st. clair","mi-ontario","430"
