"possible meanings","rank"
"right ventricular pre-ejection period","**"
"regional program for enterprise","**"
"rabies postexposure prophylaxis treatment","**"
"rural poverty and environment program","**"
"right ventricular preejection period","**"
"revenue per equity partner","**"
"research project on economic planning","**"
"register of planned emergency producers","*"
"rape prevention and education program","*"
"regional planning employment policies","*"
"roseville parent education preschool","*"
"rural primary education project","*"
