"species","no of days","max no","sites recorded"
"great northern diver","6","5+","rdppwfsnnf"
"pacific diver","1","1","pp"
"red-throated diver","1","1","pp"
"horned grebe","1","1","pp"
"pied-billed grebe&nbsp;","3","1+","snhwny"
"red-necked grebe","3","4","wfos"
"double-crested cormorant","13","1000+","various"
"great blue heron","12","10+","various"
"great white egret","5","10","whppnymfbl"
"green heron","1","2","bs"
"black-crowned night-heron","5","3","ppmcnyblos"
"least bittern","1","1","os(sam smith)"
"american bittern","3","1","hbhwcl"
"trumpeter swan","1","10","sn"
"mute swan","8","20+","various"
"canada goose","15","50+","various (inc. richardsoni)"
"wood duck","3","5","bybllb"
"american wigeon","3","6","blmclb"
"gadwall","5","10+","blhmmctwnyby"
"green-winged teal","3","2","mcsnbl"
"species","no of days","max no","sites recorded"
"mallard","15","30+","various"
"black duck","3","2","hmmc"
"northern pintail","1","10+","hm"
"blue-winged teal","4","4","blhmsn"
"northern shoveler","3","4","blhm"
"canvasback","3","1","mclb"
"redhead","4","8","ppmcbl"
"ring-necked duck","7","10","blmcsnnylb"
"greater scaup","6","20+","ppblmc"
"lesser scaup","1","2","bl"
"black scoter","1","2","pp"
"surf scoter","2","2+","ppwf"
"white-winged scoter","7","20","ppmcwfos"
"common eider","1","2","os(shore acres)"
"common goldeneye","1","2","mc"
"bufflehead","5","8","blmcwf"
"long-tailed duck","3","50+","mcwffeos"
"ruddy duck","3","20+","ppbl"
"red-breasted merganser","12","500+","various"
"goosander","5","10","mcsnwftw"
"species","no of days","max no","sites recorded"
"turkey vulture","15","20+","various"
"golden eagle","1","1","wf"
"bald eagle","3","6","snwfny"
"northern harrier","5","5","tlsnwfnybc"
"sharp-shinned hawk","5","50+","ppwfos"
"cooper's hawk","2","3","pprd"
"broad-winged hawk","3","10","wfhw"
"rough-legged buzzard","1","1","wf"
"red-tailed hawk","7","6+","wsrdwfsntwlp"
"osprey","2","3","snwf"
"american kestrel","2","1","sngr"
"merlin","4","3","ppwfhwsn"
"peregrine falcon","1","1","tw"
"ruffed grouse","4","4+","hwclws"
"sharp-tailed grouse","1","4","sn"
"ring-necked pheasant&nbsp;","3","2","twrdos"
"wild turkey","7","3","pphwtwrd"
"virginia rail","1","1","ny"
"sora rail","1","2","ny"
"common moorhen","2","1","bcos(sam smith)"
"species","no of days","max no","sites recorded"
"american coot","6","8","blwhhmhwny"
"sandhill crane","9","8","rdhmwfsnhwnypplb"
"american golden plover","1","10","mf"
"grey plover","3","800","hmtwmf"
"semipalmated plover","1","2+","hm"
"killdeer","14","4","various"
"american woodcock","4","2","whhwcl"
"upland sandpiper","1","4","sn"
"lesser yellowlegs","5","5","blhmmclb"
