"Teams","Internet TLD","Currency","ISO3166"
"Australia",".au","aud","au"
"Czech         Republic",".cz","czk","cz"
"Germany",".de","eur","de"
"Scotland",".uk","gbp","gb"
"Bermuda",".bm","bmd","bm"
"England",".uk","gbp","gb"
"Nation         of Iroquois","&nbsp;","&nbsp;","&nbsp;"
"Empire         of Roma","&nbsp;","&nbsp;","&nbsp;"
"USA",".us","usd","us"
"Canada",".ca","cad","ca"
"Finland",".fi","eur","fi"
"Netherlands",".nl","eur","nl"
"Wales",".uk","gbp","gb"
"State         of Palestine",".ps","&nbsp;","ps"
"Love         Country","&nbsp;","&nbsp;","&nbsp;"
"L&#39;oeuf         Compagnie","&nbsp;","&nbsp;","&nbsp;"
