"Wikipage page ID","Wikipage revision ID","label","Link from a Wikipage to an external page"
"46767161","676668289","ASU Foundation for A New American University","http://www.pwpartners.com"
"","","ASV Burglengenfeld",""
"46552166","659757992","Associazione Sportiva Acquachiara","https://acquachiarasport.com/home.htm"
"48000550","683749032","AT&T Mexico","http://www.att.com.mx/"
"","","AUC Libraries and Learning Technologies",""
"47371998","683518767","AUKOM","http://www.aukom.info/english"
"","","A Bullet For Pretty Boy",""
"","","A Hill to Die Upon",""
"","","A Minor Revolution",""
"","","A Pass",""
"","","A Past Unknown",""
"46423867","682837776","A Twosome Place","http://www.twosome.co.kr/"
"","","Aalami Samay",""
"","","Aalias",""
"47668016","","Aarhus Academy",""
"47672768","","Aarhus Business College",""
"47667218","","Aarhus Educational Centre for Agriculture",""
"47664452","","Aarhus School of Marine and Technical Engineering",""
"","","Aaron Diehl",""
"","","Aaron Heick",""
