"company","industry","symbol"
"paccar inc.","auto &amp; truck (repl prts)","pcar"
"lamar advertis","business svc (advertising)","lamr"
"cintas corp.","business svc (misc)","ctas"
"fiserv inc.","business svc (misc)","fisv"
"paychex inc.","business svc (misc)","payx"
"apollo grp a","business svc (schools)","apol"
"career educatn","business svc (schools)","ceco"
"sigma aldrich","chemical (specialty)","sial"
"autodesk inc.","computer (graphics)","adsk"
"synopsys inc.","computer (graphics)","snps"
"sun microsys","computer (makers)","sunw"
"apple comptr","computer (makers)","aapl"
"dell computer","computer (makers)","dell"
"network aplnce","computer (memory devices)","ntap"
"juniper netwks","computer (networks)","jnpr"
"cisco systems","computer (networks)","csco"
"qlogic corp.","computer (networks)","qlgc"
"cognizant tech","computer (services)","ctsh"
"level 3 comm","diversified companies","lvlt"
"genzyme genrl","drug (biomedical\genetic)","genz"
"gilead science","drug (biomedical\genetic)","gild"
"invitrogn corp","drug (biomedical\genetic)","ivgn"
"medimmune inc","drug (biomedical\genetic)","medi"
"millenium phrm","drug (biomedical\genetic)","mlnm"
"sepracor inc.","drug (biomedical\genetic)","sepr"
"chiron corp","drug (biomedical\genetic)","chir"
"biogn idec inc","drug (biomedical\genetic)","biib"
"celgene corp.","drug (biomedical\genetic)","celg"
"amgen inc.","drug (biomedical\genetic)","amgn"
"teva pharm adr","drug (generic)","teva"
"molex inc.","electrical (connectors)","molx"
"amer powercc","electrical (equipment)","apcc"
"flextronics","electronic (misc products)","flex"
"sanmina-sci","electronic (misc products)","sanm"
"lam research","electronic (semicndtr eqp)","lrcx"
"novellus sys","electronic (semicndtr eqp)","nvls"
"applied mat.","electronic (semicndtr eqp)","amat"
"k l a-tencor","electronic (semicndtr eqp)","klac"
"intersil corpa","electronic (semicndtr mfg)","isil"
"sandisk corp.","electronic (semicndtr mfg)","sndk"
"microchp tech","electronic (semicndtr mfg)","mchp"
"maxim intdpds","electronic (semicndtr mfg)","mxim"
"broadcom corp.","electronic (semicndtr mfg)","brcm"
"marvell tech","electronic (semicndtr mfg)","mrvl"
"altera corp.","electronic (semicndtr mfg)","altr"
"a t i tech","electronic (semicndtr mfg)","atyt"
"linear tech","electronic (semicndtr mfg)","lltc"
"intel","electronic (semicndtr mfg)","intc"
"xilinx inc","electronic (semicndtr mfg)","xlnx"
"starbucks","food (restaurant)","sbux"
"exprss scrpts","healthcare (med\den suply","esrx"
"dentsply int'l","healthcare (med\den suply","xray"
"patterson dent","healthcare (med\den suply","pdco"
"lincare hldgs","healthcare (outpnt\hmcare)","lncr"
"biomet","healthcare (products)","bmet"
"ebay inc.","internet (e:commerce)","ebay"
"iac interactve","internet (e:commerce)","iaci"
"amazon comm","internet (e:commerce)","amzn"
"b e a systems","internet (software)","beas"
"yahoo! inc.","internet (svc provider)","yhoo"
"wynn resorts","leisure (gaming)","wynn"
"pixar inc.","media (movies)","pixr"
"x m satellite","media (radio\tv)","xmsr"
"sirius satrad","media (radio\tv)","siri"
"echostar comm","media (television)","dish"
"liberty global","media (television)","lbtya"
"comcast a","media (television)","cmcsa"
"staples inc","office (supplies)","spls"
"smurfit-stone","paper","sscc"
"ross stores","retail (apparel)","rost"
"fastenal co","retail (building products)","fast"
"c d w corp","retail (computers)","cdwc"
"dollar treestr","retail (discount\variety)","dltr"
"bedbath&amp;bynd","retail (home furnishings)","bbby"
"sears holdings","retail (major chains)","shld"
"costco cos","retail (major chains)","cost"
"petsmart inc.","retail (misc\diversified)","petm"
"whole foodmkt","retail (supermarkets)","wfmi"
"siebel systems","software (business)","sebl"
"oracle systms","software (business)","orcl"
"citrix systems","software (business)","ctxs"
"mercury inter","software (business)","merqe"
"adobe systems","software (desktop)","adbe"
"microsoft","software (desktop)","msft"
"electrn arts","software (educ\entr)","erts"
"intuit inc","software (financial)","intu"
"verisign inc.","software (security)","vrsn"
"checkpoint sft","software (security)","chkp"
"symantec corp","software (security)","symc"
"researchinmtn","telecomm (cellular)","rimm"
"comverse tech","telecomm (equipment)","cmvt"
"ericsson tladr","telecomm (equipment)","ericy"
"tellabs inc.","telecomm (equipment)","tlab"
"garmin ltd","telecomm (equipment)","grmn"
"qualcomm inc.","telecomm (equipment)","qcom"
"j d s uniphse","telecomm (fiberoptics)","jdsu"
"n t l inc","telecomm (services)","ntli"
"mci inc","telecomm (services)","mcip"
"expedtrs int'l","transportation (services)","expd"
"c h robinsonww","transportation (services)","chrw"
