"coordinates display","Link from a Wikipage to an external page","Wikipage revision ID","Wikipage page ID","label","coordinates region"
"","http://region15.tehran.ir/","670790082","47099407","Town of Masoudieh",""
"","","","","Abazai",""
"","","","","Abdul Khel",""
"","","","","Adam Sahaba",""
"","","","","Adavad",""
"","","","","Adda-Douéni",""
"","","","","Adirampattinam",""
"","","","","Agra Kuz",""
"","","","","Ahmadpur",""
"","","","","Air Itam",""
"","","","","Airwa",""
"","","","","Ajmera",""
"","","","","Akathumuri",""
"","","","","Akkaraipattu",""
"","","","","Akluj",""
"","","","","Akodia",""
