"year","winner","first runner-up","second runner-up","third runner-up"
"1972","jack brisco / fred curry","NULL","NULL","NULL"
"1973","chief jay strongbow","NULL","NULL","NULL"
"1974","billy robinson","NULL","NULL","NULL"
"1975","mil máscaras","NULL","NULL","NULL"
"1976","wahoo mcdaniel","chief jay strongbow","mr. wrestling ii","ivan putski"
"1977","andré the giant","dusty rhodes","bob backlund","mil máscaras"
"1978","dusty rhodes","andré the giant","ricky steamboat","bob backlund"
"1979","dusty rhodes","andré the giant","ivan putski","mr. wrestling ii"
"1980","mr. wrestling ii","dusty rhodes","andré the giant","bruno sammartino"
"1981","tommy rich","bob backlund","andré the giant","dusty rhodes"
"1982","andré the giant","tommy rich","dusty rhodes","hulk hogan"
"1983","jimmy snuka","dusty rhodes","david von erich","the junkyard dog"
"1984","kerry von erich","hulk hogan","dusty rhodes","sgt. slaughter"
"1985","hulk hogan","magnum t.a.","kerry von erich","tito santana"
"1986","roddy piper","hulk hogan","ricky morton","nikita koloff"
"1987","dusty rhodes","hulk hogan","randy savage","nikita koloff"
"1988","randy savage","hulk hogan","sting","lex luger"
"1989","hulk hogan","sting","ric flair","the ultimate warrior"
"1990","hulk hogan","sting","the ultimate warrior","lex luger"
"1991","sting","hulk hogan","sid justice","the steiner brothers(rick and scott steiner)"
"1992","sting","the ultimate warrior","the undertaker","ron simmons"
"1993","lex luger","sting","bret hart","dustin rhodes"
"1994","sting","bret hart","the undertaker","hulk hogan"
"1995","shawn michaels","sting","diesel","hulk hogan"
"1996","shawn michaels","randy savage","sycho sid","the undertaker"
"1997","sting","steve austin","ric flair","diamond dallas page"
"1998","steve austin","goldberg","the rock","diamond dallas page"
"1999","the rock","steve austin","goldberg","mankind"
"2000","the rock","rob van dam","chris jericho","goldberg"
"2001","rob van dam","chris jericho","the rock","kurt angle"
"2002","rob van dam","hulk hogan","booker t","the rock"
"2003","kurt angle","steve austin","rob van dam","rey mysterio"
"2004","john cena","chris benoit","eddie guerrero","eugene"
"2005","john cena","batista","a.j. styles","rey mysterio"
"2006","samoa joe","john cena","rey mysterio","sting"
"2007","john cena","the undertaker","sting","cm punk"
"2008","{jeff hardy|[11]|[12]}","shawn michaels","samoa joe","the undertaker"
"2009","{jeff hardy|[11]|[12]}","john cena[6]","sting","the undertaker"
"2010","john cena[6]","{randy orton|[6]}","rob van dam[6]","{daniel bryan|[6]}"
"2011","john cena[6]","cm punk","sting","randy orton"
