"rank","article","page views"
"1","portada","380144"
"2","special:search","26352"
"3","especial:canvis recents","20783"
"4","especial:llista de seguiment","18651"
"5","especial:cerca","17159"
"6","especial:exporta/","16481"
"7","especial:article aleatori","14500"
"8","jane austen","13018"
"9","tió de nadal","12029"
"10","nadal","11757"
"11","catalunya","11348"
"12","wikileaks","10252"
"13","núria de gispert i català","9810"
"14","educació física","8943"
"15","eleccions al parlament de catalunya (2010)","8393"
"16","barcelona","8108"
"17","viquipèdia:portal","7551"
"18","viquipèdia","6841"
"19","català","6762"
"20","ajax (programació)","6274"
"21","ferran mascarell i canalda","6080"
"22","edat mitjana","5980"
"23","timbaler del bruc","5955"
"24","irene rigau i oliver","5633"
"25","cant de la sibil·la","5620"
"26","regles d&#39;accentuació del català","5494"
"27","espanya","5382"
"28","internet","5257"
"29","portal:portada","5070"
"30","llista de verbs irregulars catalans","5061"
"31","reis mags d&#39;orient","5014"
"32","wiki","5012"
"33","especial:recentchanges","4971"
"34","viquipèdia:la taverna","4938"
"35","artur mas i gavarró","4924"
"36","jaume el conqueridor","4709"
"37","viquipèdia:articles de qualitat","4667"
"38","joan maragall i gorina","4586"
"39","pessebre","4505"
"40","pronom feble","4456"
"41","comarques de catalunya","4430"
"42","home dels nassos","4348"
"43","parlament de catalunya","4310"
"44","president de la generalitat de catalunya","4136"
"45","art romànic","4065"
"46","futbol club barcelona","4050"
"47","julian assange","3777"
"48","energia renovable","3763"
"49","viquipèdia:ajuda","3691"
"50","sida","3689"
"51","aigua","3677"
"52","ramon llull","3622"
"53","acid","3613"
"54","efecte hivernacle","3610"
"55","llista de capítols de plats bruts","3581"
"56","revolució industrial","3580"
"57","basquetbol","3532"
"58","guerra civil espanyola","3511"
"59","viquipèdia:actualitat","3435"
"60","sant esteve (festivitat)","3420"
"61","viquipèdia:contacte","3392"
"62","facebook","3379"
"63","justin bieber","3341"
"64","cavall","3321"
"65","girona","3303"
"66","sants innocents","3302"
"67","petroli","3253"
