"Geburtsdatum","Geburtsort","label","birth place"
"1991-03-21","http://dbpedia.org/resource/São_José_dos_Campos","Diogo Sodré","São José dos Campos, Brazil"
"","http://dbpedia.org/resource/Mönchengladbach","Dirk Stettner","http://dbpedia.org/resource/Mönchengladbach"
"","http://dbpedia.org/resource/United_States","Disasterpeace",""
"1992-07-23","","Diwakar Vaish",""
"","http://dbpedia.org/resource/Belarus","Dmitry Sholokhov",""
"1992-03-20","http://dbpedia.org/resource/Ukraine","Dmytro Anatoliyovych Osadchyi","http://dbpedia.org/resource/Ukraine"
"","http://dbpedia.org/resource/Cherkasy","Dmytro Bilonoh","http://dbpedia.org/resource/Cherkasy"
"","http://dbpedia.org/resource/Ukraine","Dmytro Ivanisenya",""
"","http://dbpedia.org/resource/Zaporizhia","Dmytro Plakhtyr","http://dbpedia.org/resource/Zaporizhia"
"","http://dbpedia.org/resource/Olanta,_South_Carolina","Doc McKenzie","http://dbpedia.org/resource/Olanta,_South_Carolina"
"","","Dominique Tipper",""
"","","Don Hoffman",""
"","http://dbpedia.org/resource/Lyndhurst,_New_South_Wales","Don Kirkham (cyclist)",""
"1975-05-07","","Don Tjernagel","Oelwein, Iowa"
"","http://dbpedia.org/resource/Port_Antonio","Don Yute","http://dbpedia.org/resource/Port_Antonio"
"1925-04-29","","Donald A. S. Fraser",""
"","http://dbpedia.org/resource/Cheraw,_South_Carolina","Donald Malloy","http://dbpedia.org/resource/Cheraw,_South_Carolina"
"","http://dbpedia.org/resource/Bisceglie","Donato Maria dell’Olio",""
"1989","","Donchristian",""
"","http://dbpedia.org/resource/Barbados","Donnya Piggott","Barbados"
