"label","Geburtsort","birth place"
"Bobby Semple","http://dbpedia.org/resource/Scotland","http://dbpedia.org/resource/Scotland"
"Hillyard Rossiter","http://dbpedia.org/resource/Canada","http://dbpedia.org/resource/Canada"
"Kenth Ohlsson","http://dbpedia.org/resource/Sweden","http://dbpedia.org/resource/Sweden"
"Patrick Clifford (darts player)","http://dbpedia.org/resource/Ireelaand","http://dbpedia.org/resource/Ireland"
"James Wilson (darter)","",""
"John Part","",""
"Leighton Rees","",""
"Marko Pusa","",""
"Michael Smith (Dartspieler)","",""
"Peter Johnstone","http://dbpedia.org/resource/Scotland","http://dbpedia.org/resource/Scotland"
"Stefan Nagy","",""
"Steve Brown (Dartspieler)","",""
"Steve Brown (darts player)","",""
"Tony Martin (darts player)","",""
"Haruki Muramatsu","",""
"Ritchie Gardner","http://dbpedia.org/resource/England","http://dbpedia.org/resource/England"
"Rob Szabo","http://dbpedia.org/resource/New_Zealand","http://dbpedia.org/resource/New_Zealand"
"Dean Winstanley","",""
"Göran Klemme","",""
"Ian White (Dartspieler)","",""
