"Questions List","Answers"
"Music suggestion for a party for people from el salvador?","5"
"Has anybody been to Venezuela???","5"
"So I&#39;ve had to nix Cuba. Central and South America are now my options where to go?","5"
"Why should I have to visit Peru?","5"
"What are the best things about Costa Rica?","5"
"Can you hike Machu Picchu pregnant or with a baby?","5"
"Which colombian women are the best: medellin cartagena bogota barranquilla or cali?","5"
"Latin American Countries!?","5"
"How many Africans are in Latin America?","5"
"Panama Visa?","5"
