"personaggi          principali","interpreti","doppiatori"
"sandy          cohen","peter          gallagher","luca          ward"
"ryan          atwood","benjamin          mckenzie","emiliano          coltorti"
"kirsten          cohen","kelly          rowan","monica          gravina"
"seth          cohen","adam          brody","patrizio          cigliano"
"marissa          cooper","mischa          barton","valentina          mari"
"jimmy          cooper","tate          donovan","gianni          bersanetti"
"summer          roberts","rachel          bilson","paola          majano"
"luke          ward (s.1)","chris          carmack","niseem          onorato"
"julie          cooper nichol","melinda          clarke","anna          cesareni"
"caleb          nichol","alan          dale","pietro          biondi"
"hailey          nichol","amanda          righetti","francesca          guadagno"
"anna          stern","samaire          armstrong","federica          de bortoli"
"oliver          trask","taylor          handley","stefano          crescentini"
"altri          personaggi","interpreti","doppiatori"
"dawn          atwood (ep.1.11.3)","daphne          ashbrook","susanna          javicoli"
"donny          (ep.1.5)","paul          wasilewski","marco          vivio"
"gabrielle          (ep.1.6)","nicole          hiltz","pinella          dragani"
"rachel          hoffmann (ep.1.7-11)","bonnie          somerville","emanuela          rossi"
"carson          ward (ep.1.121.24)","brian          mcnamara","francesco          prando"
"taryn          (ep.1.14)","kim          oja","stefanella          marrama"
"annunciatore          ep. precedenti","&nbsp;","claudio          de angelis"
