"peak","ranking","map","guide","grid ref","alt (ft)","alt (m)"
"allen crags","43","sw","e","ny 236 085","2572","784"
"angletarn pikes","&nbsp; 143","ne","fe","ny 414 148","1857","566"
"ard crags","142","nw","nw","ny 207 197","1860","567"
"armboth fell","182","nw","c","ny 297 159","1570","479"
"arnison crag","194","ne","e","ny 394 150","1424","434"
"arthur's pike","157","ne","fe","ny 461 206","1747","532"
"bakestall","103","nw","n","ny 266 308","2189","667"
"bannerdale crags","103","nw","n","ny 336 290","2230","680"
"barf","184","nw","nw","ny 214 6267","1536","468"
"barrow","188","nw","nw","ny 227 218","1494","455"
"base brown","115","nw","w","ny 225 115","2120","646"
"beda fell","169","ne","fe","ny 428 171","1664","507"
"binsey","191","nw","n","ny 225 356","1466","447"
"birkhouse moor","77","ne","e","ny 364 159","2350","716"
"birks","123","ne","e","ny 382 145","2040","622"
"black fell   (black crag)","212","sw","s","ny 340 016","1056","322"
"blake fell","138","nw","w","ny 110 197","1878","572"
"blea rigg","151","sw","c","ny 300 079","1776","541"
"bleaberry fell","131","nw","c","ny 285 196","1932","589"
"blencathra","14","ne","n","ny 323 277","2847","868"
"bonscale pike","160","ne","fe","ny 453 201","1718","524"
"bow fell","6","sw","s","ny 244 064","2960","902"
"bowscale fell","86","nw","n","ny 334 305","2306","703"
"brae fell","133","nw","n","ny 289 351","1920","585"
"brandreth","78","nw","w","ny 215 120","2344","714"
"branstree","81","se","fe","ny 478 099","2333","711"
"brim fell","36","sw","s","sd 271 986","2611","796"
"brock crags","144","ne","fe","ny 417 137","1842","561"
"broom fell","167","nw","nw","ny 195 271","1670","509"
"buckbarrow","196","sw","w","ny 135 060","1410","430"
"burnbank fell","179","nw","w","ny 110 210","1580","482"
"calf crag","154","nw","c","ny 301 104","1762","537"
"carl side","64","nw","n","ny 254 281","2420","738"
"carrock fell","105","nw","n","ny 342 337","2174","663"
"castle crag","214","nw","nw","ny 249 159","985","300"
"cat bells","189","nw","nw","ny 244 198","1481","451"
"catstycam","10","ne","e","ny 348 158","2917","889"
"caudale moor","55","ne","fe","ny 418 100","2502","763"
"causey pike","124","nw","nw","ny 219 209","2035","620"
