"&nbsp;","country","capital","italian"
"1","afghanistan","kabul","&nbsp;"
"2","albania","tirana","tirana"
"3","algeria","algiers","algeri"
"4","american samoa","pago      pago","pago      pago"
"5","andorra","andorra      la vella","&nbsp;"
"6","angola","luanda","&nbsp;"
"7","anguilla","the      valley","&nbsp;"
"8","antigua and barbuda","st.      john�s antigua","&nbsp;"
"9","argentina","buenos      aires ba","&nbsp;"
"10","armenia","yerevan","jerevan"
"11","aruba","oranjestad","&nbsp;"
"12","australia","canberra      ac","canberra      ac"
"13","austria","vienna","vienna"
"14","azerbaijan","baku","&nbsp;"
"15","azores islands portugal","ponta      delgada sao miguel","&nbsp;"
"16","bahamas the","nassau      (int�l)","&nbsp;"
"17","bahrain","manama","&nbsp;"
"18","bangladesh","dhaka","dacca"
"19","barbados","bridgetown","&nbsp;"
"20","belarus","minsk      (int�l 1)","&nbsp;"
"21","belgium","brussels      (national)","bruxelles"
"22","belize","belmopan","&nbsp;"
"23","benin","porto      novo-cotonou","&nbsp;"
"24","bermuda","hamilton","&nbsp;"
"25","bhutan","thimphu","thimbu"
"26","bolivia","la      paz","&nbsp;"
"27","bosnia-herzegovina","sarajevo","&nbsp;"
"28","botswana","gaborone","&nbsp;"
"29","brazil","brasilia      df","&nbsp;"
"30","british indian ocean territory","diego      garcia (atoll)","&nbsp;"
"31","brunei","bandar      seri begawan","&nbsp;"
"32","bulgaria","sofia","&nbsp;"
"33","burkina faso","ouagadougou","&nbsp;"
"34","burundi","bujumbura","&nbsp;"
"35","cambodia","phnom      penh","&nbsp;"
"36","cameroon","yaounde","&nbsp;"
"37","canada","ottawa      ot","&nbsp;"
"38","canary islands spain","gran      canaria","&nbsp;"
"39","cape verde islands","praia      sao tiago island","&nbsp;"
"40","cayman islands","george      town","georgetown"
"41","central african republic","bangui","&nbsp;"
"42","chad","n�djamena","&nbsp;"
"43","channel islands u.k.","st.      helier jersey","&nbsp;"
"44","chile","santiago","&nbsp;"
"45","china","beijing      (capital)","pechino"
"46","christmas island australia","christmas      island","&nbsp;"
"47","cocos (keeling) is. australia","cocos      island","&nbsp;"
"48","colombia","bogota","bogot�"
"49","comoros","moroni      (int�l)","&nbsp;"
"50","congo dem. rep. of&nbsp; (zaire)","kinshasa","&nbsp;"
"51","congo republic of","brazzaville","&nbsp;"
"52","cook islands new zealand","avarua      rarotonga island","&nbsp;"
"53","costa rica","san      jose (juan santamaria int�l)","&nbsp;"
"54","cote d�ivoire (ivory coast)","yamoussoukro","&nbsp;"
"55","croatia","zagreb","zagrabia"
"56","cuba","havana","l�avana"
"57","cyprus","nicosia","&nbsp;"
"58","czech republic","prague","praga"
"59","denmark","copenhagen","copenaghen"
"60","djibouti","djibouti","gibuti"
"61","dominica island","roseau      (melville hall)","&nbsp;"
"62","dominican republic","santo      domingo (las americas)","&nbsp;"
"63","easter island chile","hanga      roa (mataveri int�l)","&nbsp;"
"64","ecuador","quito","&nbsp;"
"65","egypt","cairo","il      cairo"
"66","el salvador","san      salvador","&nbsp;"
"67","equatorial guinea","malabo","&nbsp;"
"68","eritrea","asmara","&nbsp;"
"69","estonia","tallinn","&nbsp;"
"70","ethiopia","addis      ababa","addis      abeba"
"71","falkland islands","port      stanley","&nbsp;"
"72","faroe islands","torshavn","&nbsp;"
"73","fiji islands","suva","&nbsp;"
"74","finland","helsinki","&nbsp;"
"75","france","paris","parigi"
"76","french guiana","cayenne","caienna"
"77","french polynesia (islands)","papeete      tahiti","&nbsp;"
"78","gabon","libreville","&nbsp;"
"79","galapagos is. ecuador","galapagos","&nbsp;"
"80","gambia the","banjul","&nbsp;"
"81","georgia","t�bilisi","tbilisi"
"82","germany","berlin","berlino"
"83","ghana","accra","&nbsp;"
"84","gibraltar","gibraltar","gibilterra"
"85","greece","athens","atene"
"86","greenland","nuuk      (godthab)","&nbsp;"
"87","grenada","st.      george�s","&nbsp;"
"88","guadeloupe","basse      - terre","&nbsp;"
"89","guam","agana","&nbsp;"
"90","guatemala","guatemala      city","citt�      del guatemala"
"91","guinea republic of","conakry","&nbsp;"
"92","guinea-bissau","bissau","&nbsp;"
"93","guyana","georgetown","&nbsp;"
"94","haiti","port-au-prince","&nbsp;"
"95","holy see","vatican      city","citt�      del vaticano"
"96","honduras","tegucigalpa","&nbsp;"
"97","hong kong","victoria","&nbsp;"
"98","hungary","budapest","&nbsp;"
"99","iceland","reykjavik      (capital)","&nbsp;"
"100","india","new      delhi nd","nuova      delhi"
"101","indonesia","jakarta","giacarta"
"102","iran","tehran","teheran"
"103","iraq","baghdad","&nbsp;"
"104","ireland","dublin","dublino"
"105","israel","jerusalem","gerusalemme"
"106","italy","rome","roma"
"107","jamaica","kingston      (int�l)","&nbsp;"
"108","japan","tokyo","&nbsp;"
"109","jordan","amman      (queen alia int�l)","&nbsp;"
"110","kazakhstan","astana","&nbsp;"
"111","kenya","nairobi","&nbsp;"
"112","kiribati islands","tarawa","&nbsp;"
"113","korea d.p. republic of","p�yongyang","&nbsp;"
"114","korea republic of","seoul","&nbsp;"
"115","kuwait","kuwait","&nbsp;"
"116","kyrgyzstan","bishkek","&nbsp;"
"117","lao p.d. republic of","vientiane","&nbsp;"
"118","latvia","riga","&nbsp;"
"119","lebanon","beirut","&nbsp;"
"120","lesotho","maseru","&nbsp;"
"121","liberia","monrovia","&nbsp;"
"122","libya","tripoli      (int�l)","&nbsp;"
"123","liechtenstein","vaduz","&nbsp;"
"124","lithuania","vilnius","&nbsp;"
"125","luxembourg","luxembourg","lussemburgo"
"126","macau","macao","&nbsp;"
"127","macedonia (fyr)","skopje","&nbsp;"
"128","madagascar","antananarivo","&nbsp;"
"129","madeira island portugal","funchal","&nbsp;"
"130","malawi","lilongwe","&nbsp;"
"131","malaysia","kuala      lumpur","&nbsp;"
"132","maldive islands","male","&nbsp;"
"133","mali republic of","bamako","&nbsp;"
"134","malta","valletta","la      valletta"
"135","marshall islands","majuro","&nbsp;"
"136","martinique","fort-de-france","&nbsp;"
"137","mauritania","nouakchott","&nbsp;"
"138","mauritius","port      louis","&nbsp;"
"139","mayotte island","mamoutzou      (dzaoudzi port)","&nbsp;"
"140","mexico","mexico      city","citt�      del messico"
"141","micronesia federated states of","palikir      pohnpei island","&nbsp;"
"142","midway island u.s.","midway      island","&nbsp;"
"143","moldova","chisinau","kisinev"
"144","monaco","monaco","&nbsp;"
"145","mongolia","ulaanbaatar","ulan-bator"
"146","montserrat","plymouth","&nbsp;"
"147","morocco","rabat","&nbsp;"
"148","mozambique","maputo","&nbsp;"
"149","myanmar (burma)","yangon      (rangoon)","rangoon"
"150","namibia","windhoek      (int�l)","&nbsp;"
"151","nauru island","yaren","&nbsp;"
"152","nepal","kathmandu","katmandu"
"153","netherlands","amsterdam","&nbsp;"
"154","netherlands antilles","willemstad      curacao","&nbsp;"
"155","new caledonia","noumea      south province","&nbsp;"
"156","new zealand","wellington","&nbsp;"
"157","nicaragua","managua","&nbsp;"
"158","niger","niamey","&nbsp;"
"159","nigeria","abuja","&nbsp;"
"160","niue island new zealand","alofi","&nbsp;"
"161","norfolk islands australia","kingston","&nbsp;"
"162","northern mariana islands","saipan","&nbsp;"
"163","norway","oslo","&nbsp;"
"164","oman","muscat","mascate"
"165","pakistan","islamabad","&nbsp;"
"166","palau","koror","&nbsp;"
"167","panama","panama      (tocumen int�l)","&nbsp;"
"168","papua new guinea","port      moresby","&nbsp;"
"169","paraguay","asuncion","&nbsp;"
"170","peru","lima","&nbsp;"
"171","philippines","manila","&nbsp;"
"172","pitcairn islands","adamstown","&nbsp;"
"173","poland","warsaw","varsavia"
"174","portugal","lisbon","lisbona"
"175","puerto rico","san      juan","&nbsp;"
"176","qatar","doha","&nbsp;"
"177","reunion island","st.      denis","&nbsp;"
"178","romania","bucharest","bucarest"
"179","russian federation","moscow","mosca"
"180","rwanda","kigali","&nbsp;"
"181","samoa","apia      upolu island (faleolo)","&nbsp;"
"182","san marino","san      marino","&nbsp;"
"183","sao tome and principe","sao      tome","&nbsp;"
"184","saudi arabia","riyadh","&nbsp;"
"185","senegal","dakar","&nbsp;"
"186","seychelles","victoria      mahe island","&nbsp;"
"187","sierra leone","freetown","&nbsp;"
