"1","isaac newton","the newtonian revolution","anglican (rejected trinitarianism i.e. athanasianism; believed in the arianism of the primitive church)"
"2","albert einstein","twentieth-century science","jewish"
"3","neils bohr","the atom","jewish lutheran"
"4","charles darwin","evolution","anglican (nominal); unitarian"
"5","louis pasteur","the germ theory of disease","catholic"
"6","sigmund freud","psychology of the unconscious","jewish; atheist; freudian psychoanalysis (freudianism)"
"7","galileo galilei","the new science","catholic"
"8","antoine laurent lavoisier","the revolution in chemistry","catholic"
"9","johannes kepler","motion of the planets","lutheran"
"10","nicolaus copernicus","the heliocentric universe","catholic (priest)"
"11","michael faraday","the classical field theory","sandemanian"
"12","james clerk maxwell","the electromagnetic field","presbyterian; anglican; baptist"
"13","claude bernard","the founding of modern physiology","&nbsp;"
"14","franz boas","modern anthropology","jewish"
"15","werner heisenberg","quantum theory","lutheran"
"16","linus pauling","twentieth-century chemistry","lutheran"
"17","rudolf virchow","the cell doctrine","&nbsp;"
"18","erwin schrodinger","wave mechanics","catholic"
"19","ernest rutherford","the structure of the atom","&nbsp;"
"20","paul dirac","quantum electrodynamics","&nbsp;"
"21","andreas vesalius","the new anatomy","catholic"
"22","tycho brahe","the new astronomy","lutheran"
"23","comte de buffon","l'histoire naturelle","&nbsp;"
"24","ludwig boltzmann","thermodynamics","&nbsp;"
"25","max planck","the quanta","protestant"
"26","marie curie","radioactivity","catholic (lapsed)"
"27","william herschel","the discovery of the heavens","jewish"
"28","charles lyell","modern geology","&nbsp;"
"29","pierre simon de laplace","newtonian mechanics","atheist"
"30","edwin hubble","the modern telescope","&nbsp;"
"31","joseph j. thomson","the discovery of the electron","&nbsp;"
"32","max born","quantum mechanics","jewish lutheran"
"33","francis crick","molecular biology","atheist"
"34","enrico fermi","atomic physics","catholic"
"35","leonard euler","eighteenth-century mathematics","calvinist"
"36","justus liebig","nineteenth-century chemistry","&nbsp;"
"37","arthur eddington","modern astronomy","quaker"
"38","william harvey","circulation of the blood","anglican (nominal)"
"39","marcello malpighi","microscopic anatomy","catholic"
"40","christiaan huygens","the wave theory of light","calvinist"
"41","carl gauss (karl friedrich gauss)","mathematical genius","lutheran"
"42","albrecht von haller","eighteenth-century medicine","&nbsp;"
"43","august kekule","chemical structure","&nbsp;"
"44","robert koch","bacteriology","&nbsp;"
"45","murray gell-mann","the eightfold way","jewish"
"46","emil fischer","organic chemistry","&nbsp;"
"47","dmitri mendeleev","the periodic table of elements","&nbsp;"
"48","sheldon glashow","the discovery of charm","jewish"
"49","james watson","the structure of dna","atheist"
"50","john bardeen","superconductivity","&nbsp;"
"51","john von neumann","the modern computer","jewish catholic"
"52","richard feynman","quantum electrodynamics","jewish"
"53","alfred wegener","continental drift","&nbsp;"
"54","stephen hawking","quantum cosmology","atheist"
"55","anton van leeuwenhoek","the simple microscope","dutch reformed"
"56","max von laue","x-ray crystallography","&nbsp;"
"57","gustav kirchhoff","spectroscopy","&nbsp;"
"58","hans bethe","the energy of the sun","jewish"
"59","euclid","the foundations of mathematics","platonism / greek philosophy"
"60","gregor mendel","the laws of inheritance","catholic (augustinian monk)"
"61","heike kamerlingh onnes","superconductivity","&nbsp;"
"62","thomas hunt morgan","the chromosomal theory of heredity","&nbsp;"
"63","hermann von helmholtz","the rise of german science","&nbsp;"
"64","paul ehrlich","chemotherapy","jewish"
"65","ernst mayr","evolutionary theory","atheist"
"66","charles sherrington","neurophysiology","&nbsp;"
"67","theodosius dobzhansky","the modern synthesis","russian orthodox"
"68","max delbruck","the bacteriophage","&nbsp;"
"69","jean baptiste lamarck","the foundations of biology","&nbsp;"
"70","william bayliss","modern physiology","&nbsp;"
"71","noam chomsky","twentieth-century linguistics","jewish atheist"
"72","frederick sanger","the genetic code","&nbsp;"
"73","lucretius","scientific thinking","epicurean; atheist"
"74","john dalton","the theory of the atom","quaker"
"75","louis victor de broglie","wave/particle duality","&nbsp;"
"76","carl linnaeus","the binomial nomenclature","christianity"
"77","jean piaget","child development","&nbsp;"
"78","george gaylord simpson","the tempo of evolution","&nbsp;"
"79","claude levi-strauss","structural anthropology","jewish"
"80","lynn margulis","symbiosis theory","jewish"
"81","karl landsteiner","the blood groups","jewish"
"82","konrad lorenz","ethology","&nbsp;"
"83","edward o. wilson","sociobiology","&nbsp;"
"84","frederick gowland hopkins","vitamins","&nbsp;"
"85","gertrude belle elion","pharmacology","&nbsp;"
"86","hans selye","the stress concept","&nbsp;"
"87","j. robert oppenheimer","the atomic era","jewish"
"88","edward teller","the bomb","jewish"
"89","willard libby","radioactive dating","&nbsp;"
"90","ernst haeckel","the biogenetic principle","&nbsp;"
"91","jonas salk","vaccination","jewish"
"92","emil kraepelin","twentieth-century psychiatry","&nbsp;"
"93","trofim lysenko","soviet genetics","russian orthodox; communist"
"94","francis galton","eugenics","&nbsp;"
"95","alfred binet","the i.q. test","&nbsp;"
"96","alfred kinsey","human sexuality","atheist"
"97","alexander fleming","penicillin","catholic"
"98","b. f. skinner","behaviorism","atheist"
"99","wilhelm wundt","the founding of psychology","atheist"
"100","archimedes","the beginning of science","greek philosophy"
