"grad","gipfel","h&ouml;he","kanton","entfernung"
"181.3","cima della vallettamottone della tappa","2130","ti/i","39.33 km"
"181.5","motto di lev&eacute;n","2023","ti","38.77 km"
"181.8","monte stabbiello","2116","ti/i","39.95 km"
"181.9","scrigno di poltrinone","1956","ti","37.34 km"
"184.0","prato della basci&oacute;ta","2076","ti/i","41.94 km"
"184.1","monte segor","2097","ti/i","40.66 km"
"184.7","gazzirola","2116","ti/i","41.09 km"
"185.9","camogh&egrave;","2228","ti","39.27 km"
"186.5","monte generoso","1701","ti","62.23 km"
"187.5","cima calescio","2034","ti","39.00 km"
"189.0","forcel","2578","gr","19.03 km"
"190.1","motton","2739","gr/ti","15.44 km"
"190.8","mottone","2692","gr/ti","19.58 km"
"191.7","pizzo pianaccio","2832","gr/ti","8.43 km"
"191.8","piz da termin","2899","gr/ti","15.59 km"
"193.0","pizzo del ramulazz","2914","gr/ti","9.81 km"
"193.9","filo di revi","2791","gr/ti","7.82 km"
"194.0","filo di remia","2939","gr/ti","10.21 km"
"194.1","torent altotorrone alto","2952","gr/ti","16.33 km"
"197.1","filo di bug&egrave;la","2838","gr/ti","7.41 km"
