"b.c.","&nbsp;","&nbsp;","&nbsp;"
"49&mdash;45","consular (&ldquo;acisculus.&rdquo;        valeria gens).","d","1"
"a.d.","&nbsp;","&nbsp;","&nbsp;"
"81&mdash;96","domitian","d and m b","2"
"98&mdash;117","trajan","l b","1"
"117&mdash;138","hadrian","l b","1"
"138&mdash;161","antoninus pius","l b and m b","5"
"d. 141","faustina senr.","l b","2"
"d. 175","faustina junr.","l b","2"
"193&mdash;211","septimius severus","d","1"
"211&mdash;212","geta","d","1"
"218&mdash;222","blagabalus","d","1"
"d. 222","julia soaemias","d","1"
"d. 223","julia maesa.","d","1"
"222&mdash;235","severus alexander","d and l b","3"
"d. 235","julia mamma","d","2"
"238&mdash;244","gordianus iii.","d","1"
"253&mdash;260","valerianus i.","d and s b","1"
"258&mdash;263","gallienus","s b","2"
"d. 268","salonina","m b","1"
"268&mdash;270","claudius gothicus","s b","3"
"258&mdash;267","postumus","d","2"
"265&mdash;267","victorinus i.","s b","6"
"267","marius","s b","1"
"267&mdash;273","tetricus i.","s b","5"
"267&mdash;272","tetricus ii.","s b","1"
"275&mdash;276","tacitus","d","1"
"276&mdash;282","probus","d","1"
"284&mdash;305","diocletian","m b","1"
"287&mdash;293","carausius","m b and s b","6"
"293&mdash;296","allectus","s b","1"
"305&mdash;306","constantius chlorus","s b","1"
"292&mdash;311","galerius maximianus","m b","1"
"306&mdash;337","constantine i. (including &ldquo; urbs roma&rdquo; and &ldquo;constantinopolis &ldquo;)","s b","34"
"d. 326","fausta","s b","1"
"d. 326","crispus","s b","2"
"337&mdash;340","constantine ii.","s b","13"
"337&mdash;350","constans","s b","4"
"337&mdash;361","constantius ii","minim and s b","6"
"350&mdash;353","magnentius","m b","1"
"364&mdash;375","valentinian i.","s b","1"
"364&mdash;378","valens","s b","4"
"375&mdash;383","gratian","s b","1"
