"scientific name/nom scientifique","common nameenglish name","nom communnom fran&ccedil;ais","number of seedlots per speciesnombre de lots le semences par essence"
"NULL","","","NULL"
"NULL","","","NULL"
"abies    alba","european    silver fir","sapin    blanc","2"
"abies    amabilis","amabilis    fir","sapin    gracieux","9"
"abies    balsamea","balsam    fir","sapin    baumier","56"
"abies    fraseri","fraser    fir","sapin    de fraser","1"
"abies    grandis","grand    fir","sapin    grandissime","14"
"abies    lasiocarpa","subalpine    fir","sapin    subalpin","16"
"abies    nordmanniana","nordmann    fir","sapin    de nordmann","1"
"acer    negundo","manitoba    maple","�rable    � feuilles compos�es","1"
"acer    pensylvanicum","striped    maple","�rable    de pennsylvanie","2"
"acer    platanoides","norway    maple","�rable    de norv�ge","2"
"acer    pseudoplanatus","sycamore    maple","�rable    sycomore","1"
"acer    rubrum","red    maple","�rable    rouge","40"
"acer    saccharum","sugar    maple","�rable    � sucre","6"
"alnus    cordata","italian    alder","aulne    d'italie","3"
"alnus    cremastogyne","","","1"
"alnus    firma","","","1"
"alnus    formosana","","","5"
"alnus    glutinosa","european    black alder","aulne    glutineux","10"
"alnus    hirsuta","NULL","NULL","2"
"alnus hirsuta turcz. var. microphylla nakai","alnus hirsuta turcz. var. microphylla nakai","NULL","1"
"alnus    incana","grey    alder","aulne    blanc","3"
"alnus    incana ssp. rugosa","speckled    alder","aulne    rugueux","47"
"alnus    incana ssp. tenuifolia","mountain    alder","aulne    � feuilles minces","13"
"alnus    japonica","japanese    alder","aulne    du japon","1"
"alnus    jorullensis","NULL","NULL","1"
"alnus    rubra","red    alder","aulne    rouge","41"
"alnus    viridis","european    green alder","NULL","3"
"alnus    viridis ssp. crispa","green    alder","aulne    crisp�","41"
"alnus    viridis ssp. sinuata","sitka    alder","aulne    de sitka","21"
"arbutus    menziesii","arbutus","arbousier    d'am�rique","1"
"asimina    triloba","pawpaw","asiminier    trilob�","2"
"austrocedrus    chilensis","NULL","NULL","3"
"betula    alleghaniensis","yellow    birch","bouleau    jaune","42"
