"country","currency","a1","a2","b1","b2","c1","c2"
"albania","all&nbsp;&nbsp;","3740","4180","4540","6145","6600","7480"
"algeria","dzd&nbsp;&nbsp;","3316","4345","4921","5456","5720","5991"
"arab    emirates","eau&nbsp;&nbsp;","315","370","420","525","580","630"
"argentina","ars&nbsp;&nbsp;","190","245","275","315","335","355"
"armenia","amd&nbsp;&nbsp;","14650","15950","17230","24120","26700","28430"
"australia","aud&nbsp;&nbsp;","170","210","255","290","305","315"
"austria","eur&nbsp;&nbsp;","84","95","100","140","145","150"
"azerbaiyan","azn&nbsp;&nbsp;","35","40","45","60","65","70"
"bahamas","bsd&nbsp;&nbsp;","63","76","90","104","110","116"
"bangladesh","bdt&nbsp;&nbsp;","2200","2300","2600","3700","4300","4700"
"belgium","eur&nbsp;&nbsp;","82","95","104","136","145","152"
"bielorussia","byr&nbsp;&nbsp;","95700","105000","111200","157500","173000","185000"
"bolivia","bov&nbsp;&nbsp;","386","450","550","637","690","715"
"bosnia-h.","km&nbsp;&nbsp;","75","85","100","125","135","145"
"brazil","brl&nbsp;&nbsp;","115","130","145","190","225","250"
"bulgary","bgl&nbsp;&nbsp;","75","80","90","120","135","155"
"cameroon","xof&nbsp;&nbsp;","22300","27000","28800","36800","38300","40400"
"canada","cad&nbsp;&nbsp;","117","140","175","195","210","220"
"chile","clp&nbsp;&nbsp;","35500","45000","50600","58600","62500","65600"
"china","cny&nbsp;&nbsp;","435","495","560","720","790","825"
"colombia","cop&nbsp;&nbsp;","129100","155000","184000","213000","230000","239000"
"costa    rica","crc&nbsp;&nbsp;","29000","35000","42000","51000","53000","55000"
"croatia","hrk&nbsp;&nbsp;","305","382","418","514","556","595"
"cuba","cuc&nbsp;&nbsp;","52","65","74","86","90","96"
"cyprus","eur&nbsp;&nbsp;","80","95","113","133","145","154"
"czeck    republic","czk&nbsp;&nbsp;","1230","1530","1740","2060","2300","2400"
"denmark","dkk&nbsp;&nbsp;","695","850","1075","1155","1200","1245"
"dominican    republic","dop&nbsp;&nbsp;","2015","2300","2870","3325","3650","3730"
"ecuador","eur&nbsp;&nbsp;","40","45","57","66","70","74"
"egypt","egp&nbsp;&nbsp;","290","350","395","480","540","590"
"equatorial    guinea","xof&nbsp;&nbsp;","21710","25145","28035","35740","38305","39270"
"estonia","eek&nbsp;&nbsp;","532","585","626","892","990","1158"
"finland","eur&nbsp;&nbsp;","84","95","104","140","150","155"
"france","eur&nbsp;&nbsp;","84","95","104","140","150","155"
"gabon","xof&nbsp;&nbsp;","21500","26000","28000","35400","37950","38900"
"georgia","gel&nbsp;&nbsp;","80","85","90","130","145","155"
"germany","eur&nbsp;&nbsp;","83","90","98","138","145","149"
"ghana","eur&nbsp;&nbsp;","20","25","29","34","36","37"
"guadalupe","eur&nbsp;&nbsp;","84","95","104","140","150","155"
"greece","eur&nbsp;&nbsp;","88","100","125","146","165","171"
"haiti","htg&nbsp;&nbsp;","1420","1670","1875","2325","2715","2970"
"hungary","huf&nbsp;&nbsp;","10000","11000","12000","16000","18000","20000"
"iceland","isk&nbsp;&nbsp;","10062","11700","12838","16828","18900","20645"
"india","inr&nbsp;&nbsp;","1850","2035","2235","3080","3520","3780"
"indonesia","idr&nbsp;&nbsp;","400700","413400","483400","667800","765500","817300"
"iran","irr&nbsp;&nbsp;","440000","480000","535500","733000","790000","850000"
"ireland","eur&nbsp;&nbsp;","85","95","107","142","152","158"
"israel","nis&nbsp;&nbsp;","340","420","505","570","585","600"
