"journal name","&lt;/a>pmc deposits or if no specific policy&lt;br />has been found to-date.');>pmc deposit policy","publisher or author:&lt;/i> publisher policy states that publisher or author may deposit.&lt;br />&lt;i>publisher only:&lt;/i> publisher policy states that only publisher may deposit.&lt;br />&lt;i>author only:&lt;/i> publisher policy states that author must deposit&lt;br />because publisher will not deposit.');>who depositsto pmc","&lt;/a>wait to deposit in pmc as stated in publisher policy.');>embargo periodin months","&lt;/a>&lt;b>immediate&lt;/b> deposit to pmc or other open access websites.&lt;br />&lt;i>yes&lt;/i> indicates publisher offers an optional fee or fee-based&lt;br />program that makes articles immediately available. &lt;i>no&lt;/i>&lt;br />indicates publisher does not offer a fee or fee-based service.');>optional feefor immediate access","&lt;/a>by clicking on the publisher name hyperlink&lt;br />in the far right column.');>publisher link tonih policy pageor related policy"
"academic emergency medicine","yes","publisher only","12","yes","wiley-blackwell"
"american journal of gastroenterology","yes","publisher or author","6","yes","nature publishing group"
"american journal of physiology-heart and circulatory physiology","yes","publisher only","12","yes","american physiological society"
"american surgeon","no specific policy","no specific information","no specific information","no specific information","southeastern surgical congress"
"analytical chemistry","yes","publisher or author","12","yes","american chemical society"
"annals of emergency medicine","yes","publisher only","12","yes","elsevier"
"applied physics letters","yes","publisher only","12","yes","american institute of physics"
"astrophysical journal","yes","author only","12","no specific information","university of chicago press"
"atmospheric environment","yes","publisher only","12","yes","elsevier"
"biochemical and biophysical research communications","yes","publisher only","12","yes","elsevier"
"biochemistry","yes","publisher or author","12","yes","american chemical society"
"biological psychiatry","yes","publisher only","12","yes","elsevier"
"biophysical journal","yes","publisher only","12","yes","cell press"
"brain research","yes","publisher only","12","yes","elsevier"
"cancer","yes","publisher only","12","yes","wiley"
"cancer epidemiology biomarkers &amp; prevention","yes","publisher or author","12","no","american association of cancer research"
"cancer research","yes","publisher or author","12","no","american association of cancer research"
"chest","yes","publisher only","12","yes","american college of chest physicians"
"circulation","yes","publisher only","12","no specific information","wolters kluwer health / lippincott"
"cmes-computer modeling in engineering &amp; sciences","no specific policy","no specific information","no specific information","no specific information","tech science press"
"development","yes","publisher only","6","yes","the company of biologists ltd"
"developmental biology","yes","publisher only","12","yes","elsevier"
"environmental science &amp; technology","yes","publisher or author","12","yes","american chemical society"
"epilepsia","yes","publisher only","12","yes","wiley-blackwell"
"european journal of neuroscience","yes","publisher only","12","yes","wiley-blackwell"
"experimental neurology","yes","publisher only","12","yes","elsevier"
"faseb journal","yes","publisher only","12","yes","federation of american societies for experimental biologists"
"genetics","yes","publisher only","6","no","genetics society of america"
"geophysical research letters","no specific policy","no specific information","no specific information","yes","american geophysical union"
"global biogeochemical cycles","no specific policy","no specific information","no specific information","yes","american geophysical union"
"global change biology","yes","publisher only","12","yes","wiley-blackwell"
"gynecologic oncology","yes","publisher only","12","yes","elsevier"
"ieee transactions on nuclear science","yes","author only","12","no","ieee-inst electrical electronics engineers inc"
"integrative and comparative biology","yes","publisher only","12","yes","oxford university press inc"
"international journal of neuropsychopharmacology","yes","author only","12","yes","cambridge university press"
