"rang","museum","stadt","facebook-fans","tendenz"
"1","moma   the museum of modern art","new york","605.792","-"
"2","metropolitan museum of art","new york","362.548","-"
"3","acropolis museum","athen","242.105","-"
"4","musée du louvre","paris","208.070","-"
"5","guggenheim museum","new york","168.125","-"
"6","tate modern","london","130.878","-"
"7","design museum","london","88.174","-"
"8","museo del prado","madrid","81.678","+1"
"9","city museum","st louis","80.285","-1"
"10","centre   pompidou","paris","72.599","-"
"11","victoria &amp; albert museum","london","68.085","+1"
"12","creation museum","petersburg","64.608","-1"
"13","british museum","london","63.234","+2"
"14","whitney museum of american art","new york","62.875","-1"
"15","the   getty museum","los angeles","61.899","-1"
"16","new museum","new york","52.376","-"
"17","salvador dali museum","saint petersburg","46.610","-"
"18","natural history museum","london","33.477","-"
"19","american museum of natural history","new york","33.060","-"
"20","national museum of the american indian","washington d.c.","32.206","-"
