"year","game","genre","platform(s)","developer(s)"
"2011","batman: arkham city","{action-adventure|brawler|stealth}","{playstation 3|xbox 360}","rocksteady studios"
"2010","super mario galaxy 2","platformer","wii","nintendo ead tokyo development group"
"2009","uncharted 2: among thieves","{action-adventure|third-person|shooter}","playstation 3","naughty dog software"
"2008","grand theft auto iv","{open world|third-person|shooter}","{playstation 3|windows|xbox 360}","rockstar north ltd."
"2007","super mario galaxy","platformer","wii","nintendo ead tokyo development group"
"2006","the legend of zelda: twilight princess","action-adventure","{wii|nintendo gamecube}","nintendo ead software development group no. 3"
"2005","resident evil 4","{survival horror|third-person|shooter}","{gamecube|playstation 2|windows|wii}","capcom"
"2004","half-life 2","{first-person|shooter}","{windows|xbox 360|xbox|playstation 3}","valve corporation"
"2003","the legend of zelda: the wind waker†","action-adventure","gamecube","nintendo ead software development group no. 3"
"2002","metroid prime","{first-person|action-adventure}","gamecube","{retro studios|nintendo}"
"2001","halo: combat evolved","{first-person|shooter}","{xbox|windows}","bungie studios"
"2000","metal gear solid","{stealth|action-adventure}","game boy color","tose"
"1999","soulcalibur","{fighting|hack &amp; slash}","{dreamcast|namco system 12|ios|xbox live arcade}","namco"
"1998","the legend of zelda: ocarina of time","{action-adventure|open world}","{nintendo 64|nintendo gamecube|ique player|virtual console|nintendo 3ds}","nintendo ead"
"1997","goldeneye 007","{first-person|shooter}","nintendo 64","{rare|nintendo}"
"1996","super mario 64","{platformer|open world}","{nintendo 64|ique player|nintendo ds|virtual console}","nintendo ead"
"1995","chrono trigger","role-playing game","{super nes|playstation|nintendo ds|virtual console|playstation network|ios}","squaresoft"
"1994","final fantasy vi","role-playing game","{super nes|virtual console}","squaresoft"
"1993","the legend of zelda: link's awakening","action-adventure","{game boy|game boy color}","nintendo ead"
"1992","the legend of zelda: a link to the past","action-adventure","{super nes|virtual console}","nintendo ead"
"1991","{sonic the hedgehog|[130]}","{side-scrolling|platformer}","{sega genesis / mega drive|game boy advance|mobile}","sonic team"
"1990","motocross maniacs","racing","game boy","konami"
"1989","tetris","puzzle","game boy","bullet proof software"
"1988","phantasy star ii","role-playing game","{mega drive / genesis|virtual console|xbox live arcade|ios}","sega"
