"fans'rank","title","year","director(s)","overallrank"
"76","12 angry men","1957","sidney lumet","154"
"9","2001: a space odyssey","1968","stanley kubrick","4"
"312","the 39 steps","1935","alfred hitchcock","206"
"140","the 400 blows","1959","fran�ois truffaut","71"
"89","8 1/2","1963","federico fellini","80"
"329","adaptation.","2002","spike jonze","971"
"278","the adventures of robin hood","1938","michael curtiz and william keighley","153"
"158","the african queen","1951","john huston","120"
"208","aguirre: the wrath of god","1972","werner herzog","188"
"163","airplane!","1980","jerry zucker jim abrahams and david zucker","175"
"386","akira","1988","katsuhiro �tomo","302"
"404","aladdin","1992","ron clements and john musker","750"
"41","alien","1979","ridley scott","38"
"47","aliens","1986","james cameron","65"
"81","all about eve","1950","joseph l. mankiewicz","37"
"231","all quiet on the western front","1930","lewis milestone","146"
"222","all the president's men","1976","alan j. pakula","277"
"166","almost famous","2000","cameron crowe","571"
"66","amadeus","1984","milos forman","141"
"470","amarcord","1973","federico fellini","365"
"141","am�lie","2001","jean-pierre jeunet","182"
"25","american beauty","1999","sam mendes","111"
"204","american graffiti","1973","george lucas","198"
"129","american history x","1998","tony kaye","706"
"422","amores perros","2000","alejandro gonz�lez i��rritu","748"
"286","andrei rublev","1966","andrei tarkovsky","236"
"215","animal house","1978","john landis","299"
"39","annie hall","1977","woody allen","25"
"116","the apartment","1960","billy wilder","127"
"10","apocalypse now","1979","francis ford coppola","13"
"221","apollo 13","1995","ron howard","485"
"483","armageddon","1998","michael bay","733"
"444","army of darkness","1992","sam raimi","1360"
"347","arsenic and old lace","1944","frank capra","686"
"227","as good as it gets","1997","james l. brooks","635"
"376","l'atalante","1934","jean vigo","189"
"301","austin powers: international man of mystery","1997","jay roach","401"
"291","l'avventura","1960","michelangelo antonioni","196"
"350","babe","1995","chris noonan","372"
"60","back to the future","1985","robert zemeckis","91"
"366","back to the future part ii","1989","robert zemeckis","1067"
"499","back to the future part iii","1990","robert zemeckis","1192"
"280","badlands","1973","terrence malick","249"
"241","barry lyndon","1975","stanley kubrick","355"
"321","barton fink","1991","joel coen","907"
"161","batman","1989","tim burton","451"
"500","batman begins","2005","christopher nolan","592"
"469","batman returns","1992","tim burton","1296"
"187","the battleship potemkin","1925","sergei m. eisenstein","74"
"322","a beautiful mind","2001","ron howard","621"
"198","beauty and the beast","1991","gary trousdale and kirk wise","246"
"132","being john malkovich","1999","spike jonze","319"
"282","being there","1979","hal ashby","459"
"396","belle de jour","1967","luis bu�uel","274"
"110","ben-hur","1959","william wyler","140"
"194","the best years of our lives","1946","william wyler","126"
"124","the bicycle thief","1948","vittorio de sica","67"
"416","big","1988","penny marshall","608"
"410","big fish","2003","tim burton","1258"
"100","the big lebowski","1998","joel coen","173"
"145","the big sleep","1946","howard hawks","163"
"190","the birds","1963","alfred hitchcock","262"
"417","the birth of a nation","1915","d.w. griffith","161"
"430","black hawk down","2001","ridley scott","866"
"30","blade runner","1982","ridley scott","21"
"434","the blair witch project","1999","daniel myrick and eduardo s�nchez","283"
"212","blazing saddles","1974","mel brooks","224"
"326","blood simple","1984","joel coen","479"
"274","blow-up","1966","michelangelo antonioni","266"
"90","blue velvet","1986","david lynch","59"
"237","the blues brothers","1980","john landis","293"
"87","bonnie and clyde","1967","arthur penn","48"
"170","boogie nights","1997","paul thomas anderson","373"
"157","das boot","1981","wolfgang petersen","194"
"414","born on the fourth of july","1989","oliver stone","781"
"401","bowling for columbine","2002","michael moore","840"
"383","boyz n the hood","1991","john singleton","568"
"45","braveheart","1995","mel gibson","116"
"71","brazil","1985","terry gilliam","77"
"284","breakfast at tiffany's","1961","blake edwards","203"
"207","the breakfast club","1985","john hughes","346"
"418","breaking the waves","1996","lars von trier","456"
"188","breathless","1960","jean-luc godard","81"
"269","bride of frankenstein","1935","james whale","121"
"65","the bridge on the river kwai","1957","david lean","57"
"372","brief encounter","1945","david lean","148"
"173","bringing up baby","1938","howard hawks","52"
"98","butch cassidy and the sundance kid","1969","george roy hill","114"
