"great white pelican","pelecanus onocrotalus","qe"
"pink-backed pelican","p. rufescens","widespread"
"little grebe","tachybaptus ruficollis","kw"
"great cormorant","phalacrocorax carbo","widespread"
"long-tailed cormorant","p. africanus","widespread"
"african darter","anhinga rufa","mu kampala area"
"african finfoot","podica senegalensis","lm - female and juvenile from boat"
"little bittern","ixobrychus minuta","mu"
"black-crowned night-heron","nycticorax nycticorax","mu"
"cattle egret","bubulcus ibis","widespread"
"common squacco heron","ardeola ralloides","widespread"
"madagascar pond-heron","a. idea","single on small roadside pool en route to mu on 1/8 was a big surprise"
"striated heron","butorides striatus","lm mu"
"rufous-bellied heron","ardeola rufiventris","single at kaaku swamp (en route to lm) another en route to mu on         1/8"
"little egret","egretta garzetta","qe"
"intermediate egret","mesophoyx intermedia","mu"
"great egret","casmerodius albus","kaaku swamp qe mu"
"goliath heron","ardea goliath","mb lm qe mu"
"purple heron","a. purpurea","widespread"
"grey heron","a. cinerea","widespread"
"black-headed heron","a. melanocephala","widespread"
"hamerkop","scopus umbretta","widespread"
"yellow-billed stork","mycteria ibis","qe"
"wooly-necked stork","ciconia episcopus","kabale en route to rz"
"african open-billed stork","anastomus lamelligerus","widespread"
"saddle-billed stork","ephippiorhynchus senegalensis","qe mu en route to kampala"
"marabou stork","leptoptilos crumeniferus","widespread"
"shoebill","balaeniceps rex","single at mb at least three at mu"
"sacred ibis","threskiornis aethiopicus","widespread"
"hadada ibis","bostrychia hagedash","widespread"
"glossy ibis","plegadis falcinellus","qe"
"african spoonbill","platalea alba","kw qe"
"egyptian goose","alopochen aegyptiacus","kw qe mu"
"spur-winged goose","plectropterus gambensis","kaaku swamp mu"
"knob-billed duck","sarkidiornis melanotos","kaaku swamp qe mu"
"african pygmy-goose","nettapus auritus","2 at mb"
"white-faced whistling-duck","dendrocygna viduata","mb mu"
"hottentot teal","anas hottentota","kaaku swamp"
"yellow-billed duck","a. undulata","widespread"
"black kite","milvus migrans","widespread"
"black-shouldered kite","elanus caeruleus","mg mu"
"african fish-eagle","haliaeetus vocifer","widespread"
"palm-nut vulture","gypohierax angolensis","widespread"
"osprey","pandion haliaetus","mu (single)"
"hooded vulture","necrosyrtes monachus","kampala area"
"white-headed vulture","trigonoceps occipitalis","2 birds (adult female and sub-adult) in the vicinity of a kill at         mu"
"african white-backed vulture","gyps africanus","qe mu"
"ruppell's griffon vulture","g. rueppellii","lm qe mu"
"lappet-faced vulture","torgos tracheliotus","qe mu"
"black-chested snake-eagle","circaetus pectoralis","kaaku swamp qe"
"brown snake-eagle","c. cinereus","singles at qe and en route to mu"
"western banded snake-eagle","c. cinerascens","single en route to mu"
"african marsh harrier","circus ranivorus","mb kaaku swamp mu"
"eurasian marsh harrier","circus aeruginosus","single female at mu"
"eastern chanting-goshawk","melierax poliopterus","mu"
