"name","city","country","meters","feets","pictures"
"warsaw tv mast","plock","poland","646","2119","NULL"
"kvly tower","blanchard nd","usa","629","2064","NULL"
"c. n. tower","toronto","canada","553","1814","{[1]|[2]|[3]|[4]}"
"ostankino tower","moscow","russia","540","1772","{[1]|[2]}"
"taipei 101","taipei","taiwan","502","-","NULL"
"pearl of the orient","shanghai","p.r.china","468","1535","{[1]|[2]}"
"petronas towers","kuala lumpur","malaysia","451","1480","{[1]|[2]|[3]|[4]}"
"sears tower","chicago il","usa","443","1453","{[1]|[2]}"
"kl tower","kuala lumpur","malaysia","421","1381","[1]"
"jin mao tower","shanghai","p.r.china","420","1378","[1]"
"tianjin radio and tv tower","tianjin","p.r.china","415","1362","{[1]|[2]}"
"world trade center","new york ny","usa","412","1352","[1 - before] [2 - after]"
"2 international finance centre","hong kong","p.r.china","407","1335","NULL"
"central radio and tv tower","beijing","p.r.china","405","1323","[1]"
"citic plaza","guangzhou","p.r.china","391","1283","[1]"
"shun hing square","shenzhen","p.r.china","384","1260","NULL"
"plaza rakyat","kuala lumpur","malaysia","382","1254","[1]"
"empire state building","new york ny","usa","381","1250","{[1]|[2]}"
"tashkent tower","tashkent","uzbekistan","375","1230","[1]"
"liberation tower","kuwait city","kuwait","372","1220","[1]"
"alma-ata tower","alma-ata","kazakhstan","370","1214","[1]"
"central plaza","hong kong","p.r. china","374","1227","{[1]|[2]|[3]}"
"bank of china","hong kong","p.r. china","369","1211","[1]"
"television tower","vilnius","lithuania","368","1207","[1]"
"television tower","berlin","germany","365","1198","{[1]|[1]}"
"post & communications building","xiamen","p.r. china","363","1193","NULL"
"emirates towers one","dubai","uae","355","1163","[1]"
"stratosphere tower","las vegas nv","usa","350","1149","[1]"
"the centre","hong kong","p.r. china","350","1149","[1]"
"tuntex & chientai tower","kaoshiung","taiwan","348","1140","{[1]|[2]}"
"amoco building","chicago il","usa","346","1136","[1]"
"central station","hong kong","hong kong","346","1136","NULL"
"john hancock center","chicago il","usa","344","1129","{[1]|[2]}"
"macau tower","macau","pr china","338","1109","[1]"
"tokyo tower","tokyo","japan","333","1093","{[1]|[2]}"
"europe tower","ginnheim","germany","331","1086","NULL"
"emley moor tv-tower","emley moor","united kingdom","330","1083","NULL"
"sky tower","auckland","new zealand","328","1076","[1]"
"di wang tower","shenzen","p.r. china","325","1066","[1]"
"shun hing square","shenzen","p.r. china","325","1066","[1]"
"sky central plaza","guangzhou","p.r. china","322","1056","[1]"
"eiffel tower","paris","france","321","1053","{[1]|[2]}"
"burj al arab hotel","dubai","uae","321","1053","[1]"
"baiyoke tower ii","bangkok","thailand","320","1050","[1]"
"chrysler building","new york ny","usa","319","1047","[1]"
"tallinn television tower","tallin","estonia","314","1029","NULL"
"nationsbank plaza","atlanta ge","usa","312","1023","NULL"
"library tower","los angeles ca","usa","310","1018","[1]"
"telekom malaysia headquarters","kuala lumpur","malaysia","310","1017","{[1]|[2]|[3]}"
"amp tower","sydney","australia","305","1001","[1]"
"texas commerce tower","houston tx","usa","305","1001","NULL"
"emirates towers ii","dubai","uae","305","1001","[1]"
"sasol stack","secunda","south africa","301","987","NULL"
"ryugyong hotel","pyongyang","n. korea","300","984","{[1]|[2]}"
"commerzbank","frankfurt","germany","298","978","{[1]|[2]}"
"landmark tower","yokohama","japan","296","971","{[1]|[2]|[3]|[4]}"
"first interstate bank plaza","houston tx","usa","296","971","NULL"
"bank of america tower","seattle ws","usa","295","968","NULL"
"311 south wacker","chicago il","usa","293","961","[1]"
"transmission tower","nuremberg","germany","292","958","NULL"
"american international building","new york ny","usa","290","952","NULL"
"olympia tower","munich","germany","290","951","NULL"
"key tower","cleveland oh","usa","289","948","NULL"
"collserola tower","barcelona","spain","288","945","[1]"
"one liberty place","philadelphia","usa","288","945","{[1]|[2]}"
"40 wall street","new york ny","usa","283","928","{[1]|[2]}"
"telemax","hanover","germany","282","925","NULL"
"bankof america plaza","dallas tx","usa","281","921","[1]"
"oub centre","singapore","singapore","280","919","[1]"
"two prudential plaza","chicago il","usa","280","920","NULL"
"citicorp tower","new york ny","usa","279","915","{[1]|[2]}"
"heinrich hertz tower","hamburg","germany","272","892","NULL"
"tiflis television tower","tbilisi","georgia","270","886","NULL"
"{al faisaliah centre|more}","riyadh","saudi arabia","267","876","NULL"
"colonius tower","k&ouml;ln","germany","266","873","NULL"
"television tower","tiflis","georgia","266","873","NULL"
"suntrust plaza","atlanta ge","usa","265","871","NULL"
"transamerica pyramid","san francisco ca","usa","260","853","[1]"
"telemax tower","hannover","germany","259","850","[1]"
"rockefeller center","new york city","usa ny","259","850","[1]"
"messe tower","frankfurt","germany","256","840","[1]"
"rinku gate tower","osaka","japan","256","840","NULL"
"transmission tower","koblenz","germany","255","837","NULL"
"rialto towers","melburne","australia","253","830","[1]"
"transmission tower","dresden","germany","252","827","NULL"
"osaka world trade center","osaka","japan","252","827","NULL"
"donauturm tower","vienna","austria","252","827","[1]"
"one atlantic center","atlanta ge","usa","250","820","NULL"
"saint chrischona transmission tower","basel","switzerland","250","820","NULL"
"bni city tower","jakarta","indonesia","250","820","NULL"
"malayan bank","kuala lumpur","malyasia","244","799","[1]"
"shin kong life tower","taipei","taiwan","244","800","NULL"
"tokyo metropolitan government building","tokyo","japan","243","797","{[1]|[2]}"
"john hancock tower","boston hu","usa","241","791","NULL"
"woolworth building","new york ny","usa","241","791","{[1]|[2]}"
"bank one center","dallas tx","usa","240","787","[1]"
"nationsbank center","houston tx","usa","238","781","NULL"
