"country name(click for destination guides)","capital city","geographic info(click for info)"
"bahamasthe","nassau","geography of the bahamas"
"bahrain","manama","geography of bahrain"
"bakerisland","none","geography of baker island"
"bangladesh","dhaka","geography of bangladesh"
"barbados","bridgetown","geography of barbados"
"bassasda india","none","geography of bassas daindia"
"belarus","minsk","geography of belarus"
"belgium","brussels","geography of belgium"
"belize","belmopan","geography of belize"
"benin","porto-novo (official capital)cotonou (seat of government)","geography of benin"
"bermuda","hamilton","geography of bermuda"
"bhutan","thimphu","geography of bhutan"
"bolivia","la paz (seat of government); sucre (legal capital and seat of judiciary)","geography of bolivia"
"bosniaandherzegovina","sarajevo","geography of bosnia&amp; herzegovina"
"botswana","gaborone","geography of botswana"
"bouvetisland","none","geography of bouvet island"
"brazil","brasilia","geography of brazil"
"britishvirgin islands","road town","geography of britishvirgin islands"
"britishindian ocean territory","none","geographyof british indian ocean territory"
"brunei","bandar seri begawan","geography of brunei"
"bulgaria","sofia","geography of bulgaria"
"burkinafaso","ouagadougou","geography of burkina faso"
"burma or myanmar","rangoon(regime refers to the capital as yangon)","geography of burma ormyanmar"
"burundi","bujumbura","geography of burundi"
