"#","media","mix"
"1","dainik jagran","27.500"
"2","dainik bhaskar","14.000"
"3","aajtak tv","7.000"
"4","cnn editions (international)","6.000"
"5","dinakaran","5.000"
"6","malayala manorama","4.000"
"7","divya bhaskar","3.800"
"8","dinamalar","3.500"
"9","huffington post","3.000"
"10","foxnews","3.000"
"11","bbc hindi","2.600"
"12","indosiar","2.500"
"13","softpedia","2.410"
"14","dina thanthi","2.100"
"15","cnn","2.000"
"16","people's daily (renmin ri bao)","2.000"
"17","usa today","2.000"
"18","navbharat times","2.000"
"19","sahara samay english","1.800"
"20","punjab kesari","1.750"
"&nbsp;","more media >>","&nbsp;"
