"country name(click for destination guides)","capital city","geographic info(click for info)"
"cambodia","phnom penh","geography of cambodia"
"cameroon","yaounde","geography of cameroon"
"canada","ottawa","geography of canada"
"capeverde","praia","geography of cape verde"
"caymanislands","george town","geography of cayman islands"
"centralafrican republic","bangui","geography of centralafrican republic"
"chad","n'djamena","geography of chad"
"chile","santiago","geography of chile"
"china","beijing","geography of china"
"christmasisland","the settlement","geography of christmasisland"
"clippertonisland","none","geography of clippertonisland"
"cocos(keeling) islands","west island","geography of cocos(keeling) islands"
"colombia","bogota","geography of colombia"
"comoros","moroni","geography of comoros"
"congodemocratic republic of the","kinshasa","geographyof democratic republic of the congo"
"congorepublic of the","brazzaville","geography of republicof the congo"
"cookislands","avarua","geography of cook islands"
"coralsea islands","none","geography of coral seaislands"
"costarica","san jose","geography of costa rica"
"coted'ivoire","yamoussoukro","geography of cote d'ivoire(ivory coast)"
"croatia","zagreb","geography of croatia"
"cuba","havana","geography of cuba"
"cyprus","nicosia","geography of cyprus"
"czechrepublic","prague","geography of czech republic"
