"name","vollst&auml;ndiger name","regierungszeit","anmerkungen"
"honorius","flavius honorius","395&ndash;423","{theodosius i.|arcadius|eugenius|stilicho}"
"&nbsp;&nbsp;gildo","unbekannt","397&ndash;398","usurpator (?) in africa"
"&nbsp;&nbsp;marcus","unbekannt","406","usurpator in britannien"
"&nbsp;&nbsp;gratian","unbekannt","407","usurpator in britannien"
"konstantin (iii.)","flavius claudius constantinus","407&ndash;411","{constans (ii.|caesar|caesar: julian}"
"&nbsp;&nbsp;priscus attalus","unbekannt","409&ndash;410414&ndash;415","{alarich|athaulf}"
"&nbsp;&nbsp;maximus","unbekannt","409/10&ndash;411418/19&ndash;420/21","{gerontius|gunderich}"
"&nbsp;&nbsp;jovinus","unbekannt","411&ndash;413","{gundahar|goar|sebastianus}"
"&nbsp;&nbsp;heraclianus","unbekannt","412&ndash;413","usurpator (?) in africa"
"constantius iii.","flavius constantius","421","mitkaiser des honorius (mitregent seit 417) von theodosius ii. nicht anerkannt"
"johannes","unbekannt","423&ndash;425","durch castinus (?) von theodosius ii. nicht anerkannt"
"valentinian iii.","flavius placidus valentinianus","425&ndash;455","{caesar|galla placidia|a&euml;tius|geiserich}"
"&nbsp;&nbsp;vortigern","unbekannt","426&ndash;441?","usurpator (?) in britannien; nachfolger:&nbsp;?ambrosius aurelianus"
"&nbsp;&nbsp;pirrus","unbekannt","428","usurpator (?) in italien"
"petronius maximus","flavius petronius maximus","455","{markian|caesar:|palladius}"
"avitus","flavius eparchius avitus","455&ndash;456","durch theoderich ii. von markian nicht anerkannt (?)"
"majorian","flavius iulius valerius maiorianus","457&ndash;461","{ricimer|caesar|leo i.}"
"&nbsp;&nbsp;marcellus","unbekannt","457?","usurpator (?) in gallien"
"libius severus","flavius libius severus","461&ndash;465","durch ricimer von leo i. nicht anerkannt (?)"
"&nbsp;&nbsp;aegidius","unbekannt","461&ndash;464/65","{paulus|syagrius}"
"anthemius","flavius procopius anthemius","467&ndash;472","467 caesar unter leo i.; mitregent: ricimer (bis 470/71)"
"&nbsp;&nbsp;arvandus","unbekannt","468","usurpator (?) in gallien (durch eurich)"
"&nbsp;&nbsp;romanus","unbekannt","470","usurpator (?) in italien (durch ricimer?)"
"olybrius","flavius anicius olybrius","472","durch ricimer (und geiserich?) gegen anthemius von leo i. nicht anerkannt (?)"
"glycerius","unbekannt","473&ndash;474","durch gundobad von leo i. nicht anerkannt"
"julius nepos","flavius iulius nepos","474&ndash;480","{caesar|leo ii.|zenon}"
"romulus augustulus","romulus a(u)gustus","475&ndash;476","{orestes|odoaker}"
