"rank","country","population","date of information"
"1","world","6446131400","july 2005 est."
"2","china","1306313812","july 2005 est."
"3","india","1080264388","july 2005 est."
"4","european union","456953258","july 2005 est."
"5","united states","295734134","july 2005 est."
"6","indonesia","241973879","july 2005 est."
"7","brazil","186112794","july 2005 est."
"8","pakistan","162419946","july 2005 est."
"9","bangladesh","144319628","july 2005 est."
"10","russia","143420309","july 2005 est."
"11","nigeria","128765768","july 2005 est."
"12","japan","127417244","july 2005 est."
"13","mexico","106202903","july 2005 est."
"14","philippines","87857473","july 2005 est."
"15","vietnam","83535576","july 2005 est."
"16","germany","82431390","july 2005 est."
"17","egypt","77505756","july 2005 est."
"18","ethiopia","73053286","july 2005 est."
"19","turkey","69660559","july 2005 est."
"20","iran","68017860","july 2005 est."
"21","thailand","64185502","july 2005 est."
"22","congo democratic republic of the","60764490","july 2005 est."
"23","france","60656178","july 2005 est."
"24","united kingdom","60441457","july 2005 est."
"25","italy","58103033","july 2005 est."
"26","korea south","48640671","july 2005 est."
"27","ukraine","46996765","july 2005 est."
"28","burma","46996558","july 2005 est."
"29","south africa","44344136","july 2005 est."
"30","colombia","42954279","july 2005 est."
"31","spain","40341462","july 2005 est."
"32","sudan","40187486","july 2005 est."
"33","argentina","39537943","july 2005 est."
"34","poland","38557984","july 2005 est."
"35","tanzania","36766356","july 2005 est."
"36","kenya","33829590","july 2005 est."
"37","canada","32805041","july 2005 est."
"38","morocco","32725847","july 2005 est."
"39","algeria","32531853","july 2005 est."
"40","afghanistan","29928987","july 2005 est."
"41","peru","27925628","july 2005 est."
"42","nepal","27676547","july 2005 est."
"43","uganda","27269482","july 2005 est."
"44","uzbekistan","26851195","july 2005 est."
"45","saudi arabia","26417599","july 2005 est."
"46","iraq","26074906","july 2005 est."
"47","venezuela","25375281","july 2005 est."
"48","malaysia","23953136","july 2005 est."
"49","korea north","22912177","july 2005 est."
"50","taiwan","22894384","july 2005 est."
"51","romania","22329977","july 2005 est."
"52","ghana","21946247","july 2005 est."
"53","yemen","20727063","july 2005 est."
"54","australia","20090437","july 2005 est."
"55","sri lanka","20064776","july 2005 est."
"56","mozambique","19406703","july 2005 est."
"57","syria","18448752","july 2005 est."
"58","madagascar","18040341","july 2005 est."
"59","cote d'ivoire","17298040","july 2005 est."
"60","cameroon","16988132","july 2005 est."
"61","netherlands","16407491","july 2005 est."
"62","chile","15980912","july 2005 est."
"63","kazakhstan","15185844","july 2005 est."
"64","cambodia","13636398","july 2005 est."
"65","burkina faso","13491736","july 2005 est."
"66","ecuador","13363593","july 2005 est."
"67","malawi","12707464","july 2005 est."
"68","niger","12162856","july 2005 est."
"69","zimbabwe","12160782","july 2005 est."
"70","guatemala","12013907","july 2005 est."
"71","angola","11827315","july 2005 est."
"72","senegal","11706498","july 2005 est."
"73","mali","11415261","july 2005 est."
"74","cuba","11346670","july 2005 est."
"75","zambia","11261795","july 2005 est."
"76","serbia and montenegro","10829175","july 2005 est."
"77","greece","10668354","july 2005 est."
"78","portugal","10566212","july 2005 est."
"79","belgium","10364388","july 2005 est."
"80","belarus","10300483","july 2005 est."
"81","czech republic","10241138","july 2005 est."
"82","tunisia","10074951","july 2005 est."
"83","hungary","10006835","july 2005 est."
"84","chad","9657069","july 2005 est."
"85","guinea","9452670","july 2005 est."
"86","dominican republic","9049595","july 2005 est."
"87","sweden","9001774","july 2005 est."
"88","bolivia","8857870","july 2005 est."
"89","somalia","8591629","july 2005 est."
"90","rwanda","8440820","july 2005 est."
"91","austria","8184691","july 2005 est."
"92","haiti","8121622","july 2005 est."
"93","azerbaijan","7911974","july 2005 est."
"94","burundi","7795426","july 2005 est."
"95","benin","7649360","july 2005 est."
"96","switzerland","7489370","july 2005 est."
"97","bulgaria","7450349","july 2005 est."
"98","honduras","7167902","july 2005 est."
"99","tajikistan","7163506","july 2005 est."
