"abbreviation","species","common name"
"achhym","achnatherum hymenoides","indian ricegrass"
"achlet","achnatherum lettermanii","letterman needlegrass"
"achnel","achnatherum nelsonii","columbia needlegrass"
"achric","achnatherum richardsonii","richardson needlegrass"
"achspe","achnatherum speciosa","desert needlegrass"
"achthu","achnatherum thurberianum","thurber needlegrass"
"agrcri","agropyron cristatum","crested wheatgrass"
"agrdes","agropyron desertorum","desert wheatgrass"
"agrexa","agrostis exarata","spike bentgrass"
"agrgig","agrostis gigantea","redtop"
"agrsca","agrostis scabra","tickle grass"
"agrsto","agrostis stolonifera","creeping bentgrass"
"andcab","andropogon cabanisii","firegrass"
"andger","andropogon gerardii","big bluestem"
"andhal","andropogon hallii","sand bluestem"
"andter","andropogon ternarius","paintbrush bluestem"
"andvir","andropogon virginicus","broomsedge bluestem"
"arclat","arctagrostis latifolia","polargrass"
"aripur","aristida purpurea","purple threeawn"
"aristr","aristida stricta","pineland threeawn"
"arudon","arundo donax","giant reed"
"arugig","arundinaria gigantea","cane"
"arugig","arundinaria gigantea subsp. gigantea","giant cane"
"arugig","arundinaria gigantea subsp. tecta","switch cane"
"bolrob","bolboschoenus robustus","seacoast bulrush"
"botbar","bothriochloa barbinodis","cane bluestem"
"boubar","bouteloua barbata","sixweeks grama"
"boucur","bouteloua curtipendula","sideoats grama"
"boueri","bouteloua eriopoda","black grama"
"bougra","bouteloua gracilis","blue grama"
"bouhir","bouteloua hirsuta","hairy grama"
"brocarc","bromus carinatus var. carinatus","california brome"
"brocarm","bromus carinatus var. marginatus","mountain brome"
"brocil","bromus ciliatus","fringed brome"
"brohor","bromus hordeaceus","soft chess"
"broine","bromus inermis","smooth brome"
"brojap","bromus japonicus","japanese brome"
"bromad","bromus madritensis","foxtail chess"
"bropum","bromus pumpellianus","pumpelly brome"
"brorub","bromus rubens","red brome"
"brotec","bromus tectorum","cheatgrass"
"brovul","bromus vulgaris","columbia brome"
"bucdac","buchloe dactyloides","buffalo grass"
"calcan","calamagrostis canadensis","bluejoint reedgrass"
"callon","calamovilfa longifolia","prairie sandreed"
"calmon","calamagrostis montanensis","plains reedgrass"
"calpur","calamagrostis purpurascens","purple pinegrass"
"calrub","calamagrostis rubescens","pinegrass"
"caraqu","carex aquatilis","water sedge"
"carbig","carex bigelowii","bigelow sedge"
"carcap","carex capitata","capitate sedge"
"carcho","carex chordorrhiza","rope-root sedge"
"carcoc","carex concinna","low northern sedge"
"carele","carex eleusinoides","goose-grass sedge"
"carfil","carex filifolia","threadleaf sedge"
"cargar","carex garberi","garber sedge"
"cargey","carex geyeri","elk sedge"
"carino","carex inops","long-stolon sedge"
"carinoh","carex inops subsp. heliophila","sun sedge"
"carinoi","carex inops subsp. inops","long-stolon sedge (typical subspecies)"
"carlend","carex lenticularis var. dolia","kellog's sedge"
"carliv","carex livida","pale sedge"
"carpen","carex pensylvanica","yellow sedge"
"carpet","carex petricosa","rock sedge"
