"year","laureate","laureate","country","rationale"
"1901","NULL","jacobus henricus van 't hoff","the netherlands","{osmotic pressure|[9]}"
"1902","NULL","hermann emil fischer","germany","{sugar|purine|[10]}"
"1903","NULL","svante august arrhenius","sweden","{dissociation|[11]}"
"1904","NULL","sir william ramsay","united kingdom","{inert gaseous elements in air|[12]}"
"1905","NULL","johann friedrich wilhelm adolf von baeyer","germany","{organic dyes|[13]}"
"1906","NULL","henri moissan","france","{fluorine|electric furnace|[14]}"
"1907","NULL","eduard buchner","germany","{fermentation|[15]}"
"1908","NULL","ernest rutherford","united kingdomnew zealand","{radioactive substances|[16]}"
"1909","NULL","wilhelm ostwald","germany","{catalysis|[17]}"
"1910","NULL","otto wallach","germany","{alicyclic compounds|[18]}"
"1911","NULL","marie curie née sklodowska","poland/france","{radium|polonium|[19]}"
"1912","NULL","victor grignard","france","{grignard reagent|[20]}"
"1912","NULL","paul sabatier","france","{hydrogenating|[20]}"
"1913","NULL","alfred werner","switzerland","{linkage of atoms in molecules|[21]}"
"1914","NULL","theodore william richards","united states","{atomic weight|[22]}"
"1915","NULL","richard martin willstätter","germany","{chlorophyll|[23]}"
"1916","not awarded","not awarded","not awarded","not awarded"
"1917","not awarded","not awarded","not awarded","not awarded"
"1918","NULL","fritz haber","germany","{synthesis of ammonia|[24]}"
"1919","not awarded","not awarded","not awarded","not awarded"
"1920","NULL","walther hermann nernst","germany","{thermochemistry|[25]}"
"1921","NULL","frederick soddy","united kingdom","{isotopes|[26]}"
"1922","NULL","francis william aston","united kingdom","{isotopes|whole-number rule|[27]}"
"1923","NULL","fritz pregl","austria","{micro-analysis|[28]}"
"1924","not awarded","not awarded","not awarded","not awarded"
"1925","NULL","richard adolf zsigmondy","germany / hungary","{colloid|[29]}"
"1926","NULL","the (theodor) svedberg","sweden","{his work on disperse systems|[30]}"
"1927","NULL","heinrich otto wieland","germany","{bile acids|[31]}"
"1928","NULL","adolf otto reinhold windaus","germany","{sterols|vitamins|[32]}"
"1929","NULL","arthur harden","united kingdom","{fermentative enzymes|[33]}"
"1929","NULL","hans karl august simon von euler-chelpin","germany","{fermentative enzymes|[33]}"
"1930","NULL","hans fischer","germany","{haemin|chlorophyll|[34]}"
"1931","NULL","carl bosch","germany","{chemical high pressure methods|[35]}"
"1931","NULL","friedrich bergius","germany","{chemical high pressure methods|[35]}"
"1932","NULL","irving langmuir","united states","{discoveries|investigations|[36]}"
"1933","not awarded","not awarded","not awarded","not awarded"
"1934","NULL","harold clayton urey","united states","{heavy hydrogen|[37]}"
"1935","NULL","frédéric joliot","france","{synthesis of new radioactive elements|[38]}"
"1935","NULL","irène joliot-curie","france","{synthesis of new radioactive elements|[38]}"
"1936","NULL","petrus (peter) josephus wilhelmus debye","the netherlands","{dipole moments|diffraction of x-rays and electrons in gases|[39]}"
