"country","currency","alphabetic code&nbsp;&nbsp;&nbsp;&nbsp;","numeric code&nbsp;&nbsp;&nbsp;&nbsp;","symbol&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","subdivision"
"gabon","cfa franc beac","xaf","950","cfaf","100 centimes"
"gambia","dalasi","gmd","270","d","100 butut"
"georgia","lari","gel","981","&nbsp;","100 tetri"
"germany","euro","eur","978","&euro;","100 euro-cents"
"ghana","cedi","ghc","288","&cent;","100 psewas"
"gibraltar","gibraltar pound","gip","292","&pound;g","100 pence"
"greece","euro","eur","978","&euro;","100 euro-cents"
"greenland","danish krone","dkk","208","dkr","100 &oslash;re"
"grenada","east caribbean dollar","xcd","951","ec$","100 cents"
"guadeloupe","euro","eur","978","&euro;","100 euro-cents"
"guam","us dollar","usd","840","$","100 cents"
"guatemala","quetzal","gtq","320","q","100 centavos"
"guinea","guinea franc","gnf","324","&nbsp;","&nbsp;"
"guinea-bissau","cfa franc bceao","xof","952","cfaf","100 centimes"
"guyana","guyana dollar","gyd","328","g$","100 cents"
"haiti","gourde","htg","332","g","100 centimes"
"&nbsp;","us dollar","usd","840","$","100 cents"
"heard and mcdonald islands","australian dollar","aud","36","a$","100 cents"
"honduras","lempira","hnl","340","l","100 centavos"
"hong kong","hong kong dollar","hkd","344","hk$","100 cents"
"hungary","forint","huf","348","ft","-none-"
"iceland","iceland krona","isk","352","ikr","100 aurar (sg. aur)"
"india","indian rupee","inr","356","rs","100 paise"
"indonesia","rupiah","idr","360","rp","100 sen (no longer used)"
"international monetary fund (imf)","sdr","xdr","960","sdr","&nbsp;"
"iran (islamic republic of)","iranian rial","irr","364","rls","10 rials = 1 toman"
"iraq","iraqi dinar","iqd","368","id","1000 fils"
"ireland","euro","eur","978","&euro;","100 euro-cents"
"israel","new israeli sheqel","ils","376","nis","100 new agorot"
"italy","euro","eur","978","&euro;","100 euro-cents"
"jamaica","jamaican dollar","jmd","388","j$","100 cents"
"japan","yen","jpy","392","&yen;","100 sen (not used)"
"jersey","pound sterling","gbp","826","&pound;","100 pence"
"jordan","jordanian dinar","jod","400","jd","1000 fils"
"kazakhstan","tenge","kzt","398","&nbsp;","100 tiyn"
"kenya","kenyan shilling","kes","404","k sh","100 cents"
"kiribati","australian dollar","aud","36","a$","100 cents"
"korea democratic people's republic of","north korean won","kpw","408","wn","100 chon"
"korea republic of","won","krw","410","w","100 chon"
"kuwait","kuwaiti dinar","kwd","414","kd","1000 fils"
"kyrgyzstan","som","kgs","417","&nbsp;","100 tyyn"
