"title","author","source"
"adventures of huckleberry finn","mark twain","ala [11]"
"the adventures of super diaper baby","dav pilkey","ala [47]"
"the adventures of tom sawyer","mark twain","ala"
"alice series","phyllis reynolds naylor","ala [2]"
"all the king's men","robert penn warren","rad"
"always running","luis j. rodriguez","ala [66]"
"american psycho","bret easton ellis","ala"
"an american tragedy","theodore dreiser","rad"
"the anarchist cookbook","william powell","ala"
"anastasia again!","lois lowry","ala [81]"
"and tango makes three","justin richardson and peter parnell","ala [9]"
"angus thongs and full-frontal snogging","louise rennison","ala [32]"
"annie on my mind","nancy garden","ala"
"are you there god? it's me margaret","judy blume","ala [82]"
"arming america","michael bellasiles","ala [34]"
"arizona kid","ron koertge","ala"
"as i lay dying","william faulkner","rad"
"asking about sex and growing up","joanna cole","ala"
"athletic shorts","chris crutcher","ala [38]"
"beloved","toni morrison","ala [24] /rad"
"black boy","richard wright","ala [67]"
"bless me ultima","rudolfo a. anaya","ala [39]"
"blood and chocolate","annette curtis klause","ala [54]"
"blubber","judy blume","ala [36]"
"the bluest eye","toni morrison","ala [12]"
"the boy who lost his face","louis sachar","ala [79]"
"boys and sex","wardell pomeroy","ala"
"brave new world","aldous huxley","ala [37] /rad"
"bridge to terabithia","katherine paterson","ala [20]"
"bumps in the night","harry allard","ala [83]"
"the call of the wild","jack london","rad"
"captain underpants","dav pilkey","ala [10]"
"carrie","stephen king","ala"
"the catcher in the rye","j. d. salinger","ala [19] /rad"
"catch-22","joseph heller","rad"
"cat's cradle","kurt vonnegut","rad"
"the chocolate war","robert cormier","ala [3]"
"christine","stephen king","ala"
"a clockwork orange","anthony burgess","rad"
"the color purple","alice walker","ala [14] /rad"
"crazy lady!","jane conly","ala [42]"
"cross your fingers spit in your hat","alvin schwartz","ala"
"cujo","stephen king","ala"
"curses hexes and spells","daniel cohen","ala"
"cut","patricia mccormick","ala [86]"
"daddy's roommate","michael willhoite","ala"
"a day no pigs would die","robert newton peck","ala"
"the dead zone","stephen king","ala"
"deenie","judy blume","ala"
"detour for emmy","marilyn reynolds","ala"
"the drowning of stephan jones","bette greene","ala"
"earth's children (series)","jean m. auel","ala"
"the exorcist","william peter blatty","ala"
"the face on the milk carton","caroline b. cooney","ala"
"fade","robert cormier","ala"
"fallen angels","walter dean myers","ala"
"family secrets","norma klein","ala"
"a farewell to arms","ernest hemingway","rad"
"final exit","derek humphry","ala"
"flowers for algernon","daniel keyes","ala"
