"rank","player (2011 ws)","w"
"1","{cy young|†}","511"
"2","{walter johnson|†}","417"
"3","{grover cleveland alexander|†}","373"
"NULL","{christy mathewson|†}","373"
"5","{pud galvin|†}","365"
"6","{warren spahn|†}","363"
"7","{kid nichols|†}","361"
"8","greg maddux","355"
"9","roger clemens","354"
"10","{tim keefe|†}","342"
"11","{steve carlton|†}","329"
"12","{john clarkson|†}","328"
"13","{eddie plank|†}","326"
"14","{nolan ryan|†}","324"
"NULL","{don sutton|†}","324"
"16","{phil niekro|†}","318"
"17","{gaylord perry|†}","314"
"18","{tom seaver|†}","311"
"19","{charley radbourn|†}","309"
"20","{mickey welch|†}","307"
"21","tom glavine","305"
"22","randy johnson","303"
"23","{lefty grove|†}","300"
"NULL","{early wynn|†}","300"
"25","bobby mathews","297"
"26","tommy john","288"
"27","{bert blyleven|†}","287"
"28","{robin roberts|†}","286"
"29","{ferguson jenkins|†}","284"
"NULL","tony mullane","284"
"31","jim kaat","283"
"32","{red ruffing|†}","273"
"33","{burleigh grimes|†}","270"
"NULL","mike mussina","270"
"35","{jim palmer|†}","268"
"36","jamie moyer","267"
"37","{bob feller|†}","266"
"NULL","{eppa rixey|†}","266"
"39","jim mccormick","265"
"40","gus weyhing","264"
"41","{ted lyons|†}","260"
"42","{red faber|†}","254"
"NULL","jack morris","254"
"44","{carl hubbell|†}","253"
"NULL","{al spalding|†}","253"
"46","{bob gibson|†}","251"
"47","{vic willis|†}","249"
"48","jack quinn","247"
"49","{joe mcginnity|†}","246"
"50","dennis martínez","245"
"NULL","jack powell","245"
"NULL","{amos rusie|†}","245"
"53","{juan marichal|†}","243"
"54","{herb pennock|†}","240"
"NULL","andy pettitte","240"
"NULL","frank tanana","240"
"57","{mordecai brown|†}","239"
"NULL","david wells","239"
"59","{clark griffith|†}","237"
"NULL","{waite hoyt|†}","237"
"61","{whitey ford|†}","236"
"62","tommy bond","234"
"63","charlie buffinton","233"
"64","sad sam jones","229"
"NULL","luis tiant","229"
"NULL","will white","229"
"67","george mullin","228"
"68","{jim bunning|†}","224"
"NULL","{catfish hunter|†}","224"
"70","paul derringer","223"
"NULL","mel harder","223"
"72","hooks dauss","222"
"NULL","jerry koosman","222"
"74","joe niekro","221"
"75","jerry reuss","220"
"76","pedro martínez","219"
"NULL","kenny rogers","219"
"78","bob caruthers","218"
"NULL","earl whitehill","218"
"80","freddie fitzsimmons","217"
"NULL","mickey lolich","217"
"82","wilbur cooper","216"
"NULL","charlie hough","216"
"NULL","curt schilling","216"
"85","{stan coveleski|†}","215"
"NULL","jim perry","215"
"87","rick reuschel","214"
"88","john smoltz","213"
"89","{chief bender|†}","212"
"90","kevin brown","211"
"NULL","bobo newsom","211"
"NULL","billy pierce","211"
"NULL","bob welch","211"
"94","{jesse haines|†}","210"
"95","vida blue","209"
"NULL","{don drysdale|†}","209"
"NULL","milt pappas","209"
"98","eddie cicotte","208"
"99","{bob lemon|†}","207"
"NULL","carl mays","207"
"NULL","{hal newhouser|†}","207"
"102","orel hershiser","204"
"NULL","al orth","204"
"104","lew burdette","203"
"NULL","silver king","203"
"NULL","jack stivetts","203"
"107","{rube marquard|†}","201"
"NULL","charley root","201"
"109","chuck finley","200"
"NULL","george uhle","200"
"NULL","tim wakefield (7)","200"
"112","{jack chesbro|†}","198"
"NULL","bucky walters","198"
"114","{dennis eckersley|†}","197"
"NULL","larry french","197"
"NULL","bob friend","197"
"NULL","jesse tannehill","197"
"NULL","adonis terry","197"
"NULL","{dazzy vance|†}","197"
"120","claude osteen","196"
"NULL","bob shawkey","196"
"122","joe bush","195"
"NULL","{ed walsh|†}","195"
"124","babe adams","194"
"NULL","doyle alexander","194"
"NULL","tommy bridges","194"
"NULL","david cone","194"
"NULL","dwight gooden","194"
"NULL","larry jackson","194"
"NULL","sam leever","194"
"NULL","dolf luque","194"
"132","wes ferrell","193"
"NULL","curt simmons","193"
"NULL","{rube waddell|†}","193"
"135","lon warneke","192"
"136","dutch leonard","191"
"NULL","jim whitney","191"
"138","{lefty gomez|†}","189"
"NULL","deacon phillippe","189"
"NULL","doc white","189"
"141","roy halladay (19)","188"
"NULL","lee meadows","188"
"NULL","rick wise","188"
"144","brickyard kennedy","187"
"NULL","urban shocker","187"
"146","bill donovan","186"
"NULL","jimmy key","186"
"NULL","tom zachary","186"
"149","mike cuellar","185"
"NULL","mike torrez","185"
"151","dave mcnally","184"
"NULL","art nehf","184"
"153","red ames","183"
"NULL","bill hutchinson","183"
"155","ed reulbach","182"
"NULL","allie reynolds","182"
"157","tim hudson (16)","181"
"158","mark langston","179"
"159","hippo vaughn","178"
"160","john candelaria","177"
"NULL","larry corcoran","177"
"NULL","virgil trucks","177"
"163","guy bush","176"
"NULL","frank dwyer","176"
"NULL","cc sabathia (19)","176"
"NULL","dave stieb","176"
"NULL","frank viola","176"
"168","chick fraser","175"
