"&nbsp;","License Type","License Type","License Type"
"&nbsp;","A","B","C"
"On Website(including advertising banners)","One Site","Multiple Sites","Multiple Sites"
"Website templatesfor resale","NO","NO","YES"
"Internet videos(like YouTube)","YES","YES","YES"
"Corporate presentationsand/or videos","YES","YES","YES"
"Video Games","Free / Shareware(with generated income up to 500 Euro)","YES","YES"
"Music on-hold","One Location","One Location","Multiple Locations"
"Trade show presentations","YES","YES","YES"
"Podcasts","YES","YES","YES"
"Student films and festivals","YES","YES","YES"
"Shops / Restaurants /Bars broadcast","NO","NO","YES"
"TV / Radio broadcast","Local Stations","Single country stations","Whole World"
"Cinema / Theateror Other Public Presentations","NO","NO","YES"
"Any Other Non-Commercial or Commercial Usage in form of synchronization with video/image or as a background music for Audio/Video/Multimedia projects","YES","YES","YES"
"maximum number of copiesmaximum downloads of production (*)","7500","15000","Unlimited"
