"Army","Time","Wins","Losses","Ratio","B.R."
"USMC","320:11:02","508","798","0.64","544"
"MEC","291:40:52","518","581","0.89","400"
"PLA","188:00:04","255","337","0.76","582"
"SAS","06:01:23","6","14","0.43","137"
"SPETZ","02:28:23","7","5","1.40","132"
"MECSF","00:02:38","1","0","0.00","7"
"Rebels","01:51:43","2","4","0.50","68"
"Insurgents","01:41:40","3","2","1.50","162"
"European Union","05:51:25","13","13","1.00","61"
"Total","817:49:10","1313","1754","&ndash;","&ndash;"
"Averages","90:52:07","146","195","0.75","233"
