"Country","Currency","Annual Fee","Life Membership in Installment  (Complete in 1 Year)","Life Membership Complete  (At Once)"
"?EUROPE","?EURO","25","225","180"
"?U.K","?Pound Sterling","20","150","120"
"?U.S.A","?U.S $","30","300","250"
"?NORWAY","?Norwegian Crone","180","1500","1200"
"?DENMARK","?Danish Crone","180","1500","1200"
"?CANADA","?Canadian $","30","300","250"
"?SWEDEN","?Swedish Crone","180","1500","1200"
"?SAUDI ARAB","?Riyal","80","825","750"
"?U.A.E","?Dirham","80","900","750"
"?KUWAIT","?Dinar","5","60","50"
"?BAHRAIN","?Dinar","10","100","80"
"?QATAR","?Riyal","80","900","750"
"?OMAN","?Riyal","10","100","80"
