"common name","scientific name","details","warks","worcs","staffs","wm"
"mute swan","cygnus olor","&nbsp;","2006","2006","2006","2006"
"bewick's swan","cygnus columbianus","st","2006","2006","2006","2006"
"whooper swan","cygnus cygnus","wa wo wm","2006","2005","2006","2006"
"bean goose","anser fabalis","a","2004","2006","2006","0"
"pink-footed goose","anser brachyrhynchus","wa wo wm","2006","2006","2006","2005"
"white-fronted goose","anser albifrons","a","2006","2005","2006","2006"
"greylag goose","anser anser","&nbsp;","2006","2006","2006","2006"
"greater canada goose","branta canadensis","&nbsp;","2006","2006","2006","2006"
"barnacle goose","branta leucopsis","&nbsp;","2006","2006","2006","2006"
"brent goose","branta bernicla","a","2006","2006","2006","2006"
"egyptian goose","alopochen aegyptiaca","wa wm","2006","2006","2006","2005"
"common shelduck","tadorna tadorna","&nbsp;","2006","2006","2006","2006"
"mandarin duck","aix galericulata","&nbsp;","2006","2006","2006","2006"
"eurasian wigeon","anas penelope","&nbsp;","2006","2006","2006","2006"
"american wigeon","anas americana","a","2002","0","2006","0"
"gadwall","anas strepera","&nbsp;","2006","2006","2006","2006"
"eurasian teal","anas crecca","&nbsp;","2006","2006","2006","2006"
"green-winged teal","anas carolinensis","a","2004","2004","2002","0"
"mallard","anas platyrhynchos","&nbsp;","2006","2006","2006","2006"
"northern pintail","anas acuta","&nbsp;","2006","2006","2006","2006"
"garganey","anas querquedula","&nbsp;","2006","2006","2006","2006"
"blue-winged teal","anas discors","bbrc","1989","1989","2001","0"
"shoveler","anas clypeata","&nbsp;","2006","2006","2006","2006"
"red-crested pochard","netta rufina","wa wm","2006","2006","2006","2006"
"common pochard","aythya ferina","&nbsp;","2006","2006","2006","2006"
"ring-necked duck","aythya collaris","a","2006","2005","2005","2001"
"ferruginous duck","aythya nyroca","a","2006","2006","2006","1998"
"tufted duck","aythya fuligula","&nbsp;","2006","2006","2006","2006"
"greater scaup","aythya marila","&nbsp;","2006","2006","2006","2003"
"lesser scaup","aythya affinis","bbrc","2005","2006","2006","0"
"common eider","somateria mollissima","a","1993","2001","2002","1993"
"long-tailed duck","clangula hyemalis","a","2005","2006","2006","2005"
"common scoter","melanitta nigra","wm","2006","2006","2006","2006"
"surf scoter","melanitta perspicillata","a","1986","2000","0","0"
"velvet scoter","melanitta fusca","a","2005","1985","2004","1994"
"bufflehead","bucephala albeola","bbrc","2004","0","2004","2004"
"common goldeneye","bucephala clangula","&nbsp;","2006","2006","2006","2006"
"smew","mergellus albellus","wo wm","2006","2006","2006","2006"
"red-breasted merganser","mergus serrator","a","2006","2006","2006","2006"
"goosander","mergus merganser","&nbsp;","2006","2006","2006","2006"
"ruddy duck","oxyura jamaicensis","&nbsp;","2006","2006","2006","2006"
"red grouse","lagopus lagopus","wo wa wm","0","0","2006","1868"
"black grouse","tetrao tetrix","a","0","1915","2003","1897"
"red-legged partridge","alectoris rufa","&nbsp;","2006","2006","2006","2006"
"grey partridge","perdix perdix","&nbsp;","2006","2006","2006","2006"
"common quail","coturnix coturnix","a","2006","2006","2006","2004"
"common pheasant","phasianus colchicus","&nbsp;","2006","2006","2006","2006"
"red-throated diver","gavia stellata","a","2006","1997","2005","2001"
"black-throated diver","gavia arctica","a","2002","1995","2000","1997"
"great northern diver","gavia immer","a","2006","2004","2006","2003"
"little grebe","tachybaptus ruficollis","&nbsp;","2006","2006","2006","2006"
"great crested grebe","podiceps cristatus","&nbsp;","2006","2006","2006","2006"
"red-necked grebe","podiceps grisegena","a","2006","2005","2006","1996"
"slavonian grebe","podiceps auritus","a","2006","2002","2006","2003"
"black-necked grebe","podiceps nigricollis","wa wo wm","2006","2006","2006","2006"
"fulmar","fulmarus glacialis","a","2004","2000","1993","1996"
"cory's shearwater","calonectris diomedea","a","0","0","1971","0"
"manx shearwater","puffinus puffinus","a","2006","2006","2006","2004"
"european storm-petrel","hydrobates pelagicus","a","1983","2003","1990","1970"
"leach's storm-petrel","oceanodroma leucorhoa","a","2006","2006","2006","2006"
"northern gannet","morus bassanus","a","2004","2006","2006","2006"
"great cormorant","phalacrocorax carbo","&nbsp;","2006","2006","2006","2006"
"shag","phalacrocorax aristotelis","a","2006","2004","2006","2005"
"eurasian bittern","botaurus stellaris","a","2006","2006","2006","2005"
"little bittern","ixobrychus minutus","bbrc","1981","1865","1901","&lt;1836"
"night heron","nycticorax nycticorax","a","2001","1983","2000","2004"
"squacco heron","ardeola ralloides","bbrc","0","0","2004","0"
"cattle egret","bubulcus ibis","bbrc","1994","1993","1987","0"
"little egret","egretta garzetta","wm","2006","2006","2006","2006"
"great white egret","ardea alba","a","2006","1999","2003","2002"
"grey heron","ardea cinerea","&nbsp;","2006","2006","2006","2006"
"purple heron","ardea purpurea","a","1990","2000","2005","0"
"black stork","ciconia nigra","bbrc","0","1956","1985","0"
"white stork","ciconia ciconia","a","2005","2005","2005","2005"
"glossy ibis","plegadis falcinellus","bbrc","0","0","2006","0"
"eurasian spoonbill","platalea leucorodia","a","2005","2001","2006","2002"
"honey-buzzard","pernis apivorus","a","2004","2004","2006","2004"
"black kite","milvus migrans","a","0","1986","1991","2004"
"red kite","milvus milvus","wm","2006","2006","2006","2006"
"white-tailed eagle","haliaeetus albicilla","a","1891","1945","1905","0"
"marsh harrier","circus aeruginosus","wo wa wm","2006","2006","2006","2005"
"hen harrier","circus cyaneus","a","2006","2006","2006","2005"
"montagu's harrier","circus pygargus","a","2005","2006","2006","1951"
"northern goshawk","accipiter gentilis","a","2006","2006","2006","2006"
"eurasian sparrowhawk","accipiter nisus","&nbsp;","2006","2006","2006","2006"
"common buzzard","buteo buteo","&nbsp;","2006","2006","2006","2006"
"rough-legged buzzard","buteo lagopus","a","2005","1979","2001","1996"
"golden eagle","aquila chrysaetos","a","0","0","nk","0"
"osprey","pandion haliaetus","wo wm","2006","2006","2006","2006"
"common kestrel","falco tinnunculus","&nbsp;","2006","2006","2006","2006"
"red-footed falcon","falco vespertinus","a","2003","2001","2002","0"
"merlin","falco columbarius","wm","2006","2006","2006","2006"
"hobby","falco subbuteo","&nbsp;","2006","2006","2006","2006"
"gyr falcon","falco rusticolus","bbrc","1852","0","&lt;1844","0"
"peregrine falcon","falco peregrinus","&nbsp;","2006","2006","2006","2006"
"water rail","rallus aquaticus","&nbsp;","2006","2006","2006","2006"
"spotted crake","porzana porzana","a","2005","2002","2006","1998"
"little crake","porzana parva","bbrc","1974","0","0","0"
"corn crake","crex crex","a","2005","1988","1988","1965"
"moorhen","gallinula chloropus","&nbsp;","2006","2006","2006","2006"
"common coot","fulica atra","&nbsp;","2006","2006","2006","2006"
"common crane","grus grus","a","2003","2004","2006","2005"
"little bustard","tetrax tetrax","bbrc","0","0","c1899","&lt;1893"
"great bustard","otis tarda","bbrc","0","c1825","0","0"
"oystercatcher","haematopus ostralegus","&nbsp;","2006","2006","2006","2006"
"black-winged stilt","himantopus himantopus","bbrc","1987","2006","1995","0"
"avocet","recurvirostra avosetta","a","2005","2006","2006","1999"
"stone curlew","burhinus oedicnemus","a","2001","1996","2006","1991"
"collared pratincole","glareola pratincola","bbrc","1996","1994","0","0"
"little ringed plover","charadrius dubius","&nbsp;","2006","2006","2006","2006"
"ringed plover","charadrius hiaticula","&nbsp;","2006","2006","2006","2006"
"kentish plover","charadrius alexandrinus","a","1993","1940","1995","0"
"dotterel","charadrius morinellus","a","2002","2006","2006","1978"
"american golden plover","pluvialis dominica","a","1991","0","0","0"
"european golden plover","pluvialis apricaria","&nbsp;","2006","2006","2006","2006"
"grey plover","pluvialis squatarola","wm","2006","2006","2006","2005"
"white-tailed lapwing","vanellus leucurus","bbrc","1975","0","0","0"
"northern lapwing","vanellus vanellus","&nbsp;","2006","2006","2006","2006"
"red knot","calidris canutus","wm","2005","2006","2006","2006"
"sanderling","calidris alba","wm","2006","2006","2006","2006"
"little stint","calidris minuta","wm","2006","2006","2006","2004"
"temminck's stint","calidris temminckii","a","2006","2006","2006","2005"
"least sandpiper","calidris minutilla","bbrc","2002","1988","2002","0"
"white-rumped sandpiper","calidris fuscicollis","a","0","1996","1989","0"
"baird's sandpiper","calidris bairdii","bbrc","1996","0","2005","0"
"pectoral sandpiper","calidris melanotos","a","2005","2006","2006","2006"
"curlew sandpiper","calidris ferruginea","wm","2006","2005","2006","2002"
"purple sandpiper","calidris maritima","a","1993","1988","2000","1985"
"dunlin","calidris alpina","&nbsp;","2006","2006","2006","2006"
"broad-billed sandpiper","limicola falcinellus","bbrc","1985","0","2004","0"
"buff-breasted sandpiper","tryngites subruficollis","a","1995","0","1980","0"
"ruff","philomachus pugnax","&nbsp;","2006","2006","2006","2006"
"jack snipe","lymnocryptes minimus","&nbsp;","2006","2006","2006","2006"
"common snipe","gallinago gallinago","&nbsp;","2006","2006","2006","2006"
"great snipe","gallinago media","bbrc","&lt;1886","0","1954","1995"
"long-billed dowitcher","limnodromus scolopaceus","bbrc","1983","2006","0","0"
"woodcock","scolopax rusticola","&nbsp;","2006","2006","2006","2006"
"black-tailed godwit","limosa limosa","wm","2006","2006","2006","2006"
"bar-tailed godwit","limosa lapponica","wm","2006","2006","2006","2003"
"whimbrel","numenius phaeopus","wm","2006","2006","2006","2005"
"eurasian curlew","numenius arquata","&nbsp;","2006","2006","2006","2006"
