"Trade name","Active ingredients","Pharmaceutical company"
"Gavisconell Citron sans sucre","Alginic Acid (Alginate Sodium); Calcium (Calcium Carbonate); Sodium Bicarbonate","Reckitt Benckiser"
"Gavisconell Menthe","Alginic Acid (Alginate Sodium); Calcium Carbonate; Sodium Bicarbonate","Reckitt Benckiser"
"Gavisconell Menthe sans sucre","Alginic Acid (Alginate Sodium); Sodium Bicarbonate","Reckitt Benckiser"
"Junior Disprin","Acetaminophen","Reckitt Benckiser"
"Junior Disprol","Acetaminophen","Reckitt Benckiser"
"Lemsip","Acetaminophen","Reckitt Benckiser; Meda"
"Lemsip Blackcurrant","Acetaminophen; Phenylephrine Hydrochloride; Vitamin C (Ascorbic Acid)","Reckitt Benckiser"
"Lemsip Chesty Cough","Guaifenesin","Reckitt Benckiser"
"Lemsip Children's Cold Relief","Acetaminophen","Reckitt Benckiser"
"Lemsip Childrens Six + Cold and Flu Relief","Acetaminophen; Phenylephrine Hydrochloride","Reckitt Benckiser"
