"Geburtsdatum","birth place","Geburtsort","label"
"1980-05-14","http://dbpedia.org/resource/Spain","http://dbpedia.org/resource/Spain","Iosune Murillo Elkano"
"","http://dbpedia.org/resource/Adelaide","http://dbpedia.org/resource/Adelaide","James Glasspool"
"","http://dbpedia.org/resource/Estonia","http://dbpedia.org/resource/Estonia","Maaris Meier"
"","","","Percy Osborn"
"","http://dbpedia.org/resource/Maputsoe","http://dbpedia.org/resource/Maputsoe","Phetetso Monese"
"","http://dbpedia.org/resource/Wellington","http://dbpedia.org/resource/Wellington","Scott Ambrose"
"1978-05-09","http://dbpedia.org/resource/United_Kingdom","http://dbpedia.org/resource/United_Kingdom","Tanja Slater"
"","","","Fernand Mithouard"
"","","http://dbpedia.org/resource/Saint-Germain-en-Laye","Jean Bidot"
"1992-01-23","http://dbpedia.org/resource/Ghent","http://dbpedia.org/resource/Ghent","Jef Van Meirhaeghe"
"1929-04-20","","http://dbpedia.org/resource/Breda","Jos Suijkerbuijk"
"1984-05-24","http://dbpedia.org/resource/Australia","http://dbpedia.org/resource/Australia","Rebecca Wiasak"
"1992-06-12","http://dbpedia.org/resource/Luxembourg_City","http://dbpedia.org/resource/Luxembourg_City","Alex Kirsch"
"1993-12-14","http://dbpedia.org/resource/Denmark","http://dbpedia.org/resource/Denmark","Alexander Kamp Egested"
"","","","Alfons Spiessens"
