"EMPLOYER","INDUSTRY","# OF EMPLOYEES"
"Quality Cabinets and Doors (Masco)","Cabinets","2400"
"Duncanville ISD","Public school system","1600"
"Costco","Warehouse Club","250"
"City of Duncanville","City services","242"
"Pioneer Frozen Foods","Food services","161"
"Pappadeaux Seafood","Restaurant","152"
"DeFord's Lumber &amp; Door","Manufacturing","147"
"The Romney Group","Call center","80"
"Duncanville Ford","Auto sales &amp; service","70"
"Brittle-Brittle","Candy manufacturing","65"
"Hilton Garden Inn","Hotel","60"
"Personalized Communications","Message center","60"
"Durable Spec Inc.","Public works/electrical","58"
"Custom Canvas Canvas","Manufacturing","55"
"Precise Connections","Circuit boards","55"
"Dr Pepper StarCenter","Ice skating complex &amp; pro shop","35"
"Apple Corrugated Box","Manufacturing","32"
"Ramada Inn","Hotel","25"
"Universal Enclosure Systems","Electric Raceway/gutter/pullboxes","24"
"Holiday Inn","Hotel","17"
