"airline","tracking flights","booked flights   (refund/voucher   availability)"
"airtran","yes","yes"
"alaska","yes","yes"
"american","yes","yes"
"continental","yes","yes"
"delta","yes","yes"
"hawaiian","yes","yes"
"horizon air","no","yes"
"jetblue","yes","yes"
"midwest","yes","no"
"northwest","yes","yes"
"united","yes","yes"
"us airways","yes","yes"
"virgin america","yes","yes"
"aaa air alps av�","yes�","no"
"adria airways","yes","no"
"aegean airlines","yes","no"
"aer arann","yes","no"
"aer lingus","no","no"
"aero galapagos","yes","no"
"aeroflot","yes","no"
"aerolineas argentina","yes","no"
"aeromar","yes","no"
"aeromexico","yes","no"
"aerosur","yes","no"
"aerosvit airlines","yes","no"
"afriqiyah airways","yes","no"
"aigle azur","yes","no"
"air algerie","yes","no"
"air astana","yes","no"
"air austral","yes","no"
"air baltic","yes","no"
"air berlin","no","no"
"air canada","yes","no"
"air caraibes","yes","no"
"air china","yes","no"
"air comet","yes","no"
"air dolomiti","yes","no"
"air europa","yes","no"
"air france","yes","no"
"air india","yes","no"
"air jamaica","yes","no"
"air macau limited","yes","no"
"air malta","yes","no"
"air mauritius","yes","no"
"air moldova","yes","no"
"air namibia","yes","no"
"air new zealand","yes","no"
"air one","yes","no"
"air pacific ltd.","yes","no"
"air seychelles","yes","no"
"air tahiti","yes","no"
"air tahiti nui","yes","no"
"air transat","yes","no"
"air zimbabwe","yes","no"
"alitalia","no","no"
"all nippon airways","yes","no"
"arkia israel","yes","no"
"asiana airlines","yes","no"
"atlasjet","yes","no"
"aurigny air","yes","no"
"austrian airlines","no","no"
"avianca aerovias","yes","no"
"azerbaijan airlines","yes","no"
"bahamasair","yes","no"
"bangkok airways","yes","no"
"bearskin airlines","yes","no"
"belavia","yes","no"
"bellview airlines","yes","no"
"binter canarias","yes","no"
"blue panorama air","yes","no"
"blue1","yes","no"
"bmi","no","no"
"bmibaby","yes","no"
"british airways","yes","no"
"brussels airlines","yes","no"
"bulgaria air","yes","no"
"cape air","yes","no"
"caribbean airlines","yes","no"
"carpatair","yes","no"
"cathay pacific","yes","no"
"cayman airways","yes","no"
"central mountain","yes","no"
"china airlines","yes","no"
"china eastern air","yes","no"
"china southern","yes","no"
"cimber air","yes","no"
"cirrus airlines","yes","no"
"cityjet (vlm)","yes","no"
"co donbassaero","yes","no"
"compagnie corse","yes","no"
"condor","yes","no"
"copa airlines","yes","no"
"corsairfly","yes","no"
"croatia airlines","yes","no"
"cyprus airways","yes","no"
"cyprus turkish","yes","no"
"czech airlines","yes","no"
"dragonair","yes","no"
"eastern airways","yes","no"
"easyjet","no","no"
"egypt air","yes","no"
"el al","yes","no"
"emirates","yes","no"
"era aviation","yes","no"
"estonian air","yes","no"
"ethiopian air","yes","no"
"etihad airways","yes","no"
"eurofly","yes","no"
"eurostar","yes","no"
"eva air","yes","no"
"finnair","no","no"
"fly thomas cook","yes","no"
"flybaboo","yes","no"
"flybe","yes","no"
"flyglobespan","yes","no"
"frontier","yes","no"
"garuda indonesia","yes","no"
"germanwings","yes","no"
"go! (mesa airlines)","yes","no"
"gol linhas aereas","yes","no"
"great lakes av","yes","no"
"gulf air","yes","no"
"hainan airlines","yes","no"
"iceland express","yes","no"
"icelandair","yes","no"
"indian airlines","yes","no"
"indigo","yes","no"
"island air","yes","no"
"jalways","yes","no"
"japan airlines","yes","no"
"jat airways","yes","no"
"jet airways","no","no"
"jet2","yes","no"
"jet4you","yes","no"
"jetlite","yes","no"
"jetstar airways","no","no"
"jetstar asia","yes","no"
"kenya airways","yes","no"
"kingfisher air","yes","no"
"klm","yes","no"
"korean air","yes","no"
"kuwait airways","yes","no"
"lacsa","yes","no"
"lan airlines","yes","no"
"lan argentina","yes","no"
"lan ecuador","yes","no"
"lan peru","yes","no"
"lao aviation","yes","no"
"liat","yes","no"
"lot polish air","yes","no"
"lufthansa","yes","no"
"luxair","yes","no"
"malaysia airlines","no","no"
"malev hungarian","yes","no"
"malmo aviation","yes","no"
"manx2","yes","no"
"meridiana","yes","no"
"mexicana","no","no"
"middle e. airliban","yes","no"
"mokulele airlines","yes","no"
"monarch airlines","yes","no"
"montenegro air","yes","no"
"niki","yes","no"
"norwegian air shuttl","no","no"
"oman air","yes","no"
"openskies","yes","no"
"pacific coastal","yes","no"
"pacific wings","yes","no"
"pegasus airlines","yes","no"
"penair","yes","no"
"philippine air","yes","no"
"pluna","yes","no"
"precision air","yes","no"
"qantas","yes","no"
"qatar airways","yes","no"
"rex","yes","no"
"rossiya","yes","no"
"royal air maroc","yes","no"
"royal brunei air","yes","no"
"royal jordanian","yes","no"
"ryanair","no","no"
"santa barbara air","yes","no"
"sas","yes","no"
"sata international","yes","no"
"saudi arabian air","yes","no"
"shandong airlines","yes","no"
"shanghai airlines","yes","no"
"shenzhen airlines","yes","no"
"siberia airlines","yes","no"
"sichuan airlines","yes","no"
"siem reap intl","yes","no"
"silkair","yes","no"
"singapore airlines","yes","no"
"south african airway","no","no"
"southwest*","no","no"
"spanair","yes","no"
"spirit airlines","yes","no"
"srilankan airlines","yes","no"
"sun country air","yes","no"
"sunexpress","yes","no"
"swiss international","no","no"
"taca intl air","yes","no"
"tacv","yes","no"
"tam airlines","no","no"
"tap portugal","yes","no"
"tarom","yes","no"
"thai airways interna","no","no"
"thomsonfly","yes","no"
"transaero airlines","yes","no"
"transavia.com","yes","no"
"tuifly","yes","no"
"tunisair","yes","no"
"turkish airlines","no","no"
"ukraine intl air","yes","no"
"ural airlines","yes","no"
"us helicopter","yes","no"
"usa3000","yes","no"
"uzbekistan airways","yes","no"
"v australia","yes","no"
"vietnam airlines","yes","no"
"virgin atlantic","yes","no"
"virgin blue","no","no"
"virgin nigeria","yes","no"
"vueling airlines","yes","no"
"westjet","yes","no"
"windward is intl","yes","no"
"wizz air","yes","no"
"xiamen airlines","yes","no"
"yemenia yemen","yes","no"
