"r8239","r8274","?"
"380","380","ED4_returncode ED4_terminal::draw_drag_box(AW_pos x AW_pos y GB_CSTR text int cursor_y)&nbsp; &nbsp; &nbsp; // draws drag box of object at location abs_x abs_y?"
"381","381","?"
"382","?","&nbsp; &nbsp; ED4_index&nbsp; &nbsp;i;?"
"383","?","&nbsp; &nbsp; AW_pos&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; width height drag_x drag_y;?"
"384","?","&nbsp; &nbsp; AW_pos&nbsp; &nbsp; &nbsp; drag_line_x0[3] drag_line_y0[3];?"
"385","?","&nbsp; &nbsp; AW_pos&nbsp; &nbsp; &nbsp; drag_line_x1[3] drag_line_y1[3];?"
"386","?","&nbsp; &nbsp; ED4_base&nbsp; &nbsp; *drag_target = NULL;?"
"387","?","&nbsp; &nbsp; AW_pos&nbsp; &nbsp; &nbsp; target_x target_y;?"
"388","?","&nbsp; &nbsp; ED4_extension&nbsp; &nbsp;location;?"
"389","?","?"
"390","?","&nbsp; &nbsp; width = extension.size[WIDTH] - 1;?"
"391","?","&nbsp; &nbsp; height = extension.size[HEIGHT] - 1;?"
"392","?","?"
"393","?","&nbsp; &nbsp; if (cursor_y!=-1)?"
"394","?","&nbsp; &nbsp; ?"
"?","382","&nbsp; &nbsp; ED4_index&nbsp; &nbsp; &nbsp; i;?"
"?","383","&nbsp; &nbsp; AW_pos&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;drag_x drag_y;?"
"?","384","&nbsp; &nbsp; AW_pos&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;drag_line_x0[3] drag_line_y0[3];?"
"?","385","&nbsp; &nbsp; AW_pos&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;drag_line_x1[3] drag_line_y1[3];?"
"?","386","&nbsp; &nbsp; ED4_base&nbsp; &nbsp; &nbsp; *drag_target = NULL;?"
"?","387","&nbsp; &nbsp; AW_pos&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;target_x target_y;?"
"?","388","&nbsp; &nbsp; ED4_extension&nbsp; location;?"
"?","389","?"
"?","390","&nbsp; &nbsp; if (cursor_y!=-1) ?"
"395","391","&nbsp; &nbsp; &nbsp; &nbsp; ED4_device_manager *device_manager = ED4_ROOT-&gt;get_device_manager();?"
"396","392","&nbsp; &nbsp; &nbsp; &nbsp; drag_x = 0;?"
