"Wikipage page ID","Wikipage revision ID","label"
"45697635","670149010","Faith Baptist Bible College & Theological Seminary (Burma)"
"","","Fallstar"
"","","Fantain"
"47319370","683566100","Fantex"
"47754753","681198033","Far East Consortium International Limited"
"","","Far Eastern Bible College"
"46695315","","Farhadabad High School"
"47367414","683329988","Farmington Bank"
"47372586","682821627","Faros Keratsiniou B.C."
"47780808","","Fasedown"
"","","Fastway News"
"46234166","661137764","Federacciai"
"","","Federal Department of Home Affairs"
"47833616","683546802","Federal Institute for Sustainable Development (FISD)"
"46611836","","Instituto Federal de Brasília"
