"Sterbedatum","label","Geburtsdatum","birth place","Geburtsort"
"2001","J. M. Pahwa","1922-07-04","http://dbpedia.org/resource/Multan","http://dbpedia.org/resource/Multan"
"","Michel Doyon","1943-04-22","http://dbpedia.org/resource/Quebec","http://dbpedia.org/resource/Quebec"
"","JC Gonzalez","","","http://dbpedia.org/resource/Bogotá"
"","JGivens","","","http://dbpedia.org/resource/California"
"","J Metro","","","http://dbpedia.org/resource/United_States"
"","Jackie Kazarian","","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/United_States"
"","Jaclyn Bradley Palmer","1979-06-26","",""
"","Jacob Elbaz","1945","",""
"","Jagoda Marinić","1977-09-20","","http://dbpedia.org/resource/Waiblingen"
"","Jair Bolsonaro","1955-03-21","http://dbpedia.org/resource/Campinas","http://dbpedia.org/resource/Campinas"
"","Jamais Cascio","","",""
"","James DeJulio","","",""
