"Rank","Company","State","Industry","Revenue ($bil)","Employees"
"1","Cargill","MN","Farm Products","110.63 e&nbsp;&nbsp;","152600"
"2","Koch Industries","KS","Chemicals - Major Diversified","98.00 e&nbsp;&nbsp;","80000"
"3","Chrysler","MI","Auto Manufacturers - Major","59.70 e&nbsp;&nbsp;","66409"
"4","GMAC Financial Services","MI","Financial Services","31.49 &nbsp;&nbsp;&nbsp;&nbsp;","26700"
"5","PricewaterhouseCoopers","NY","Business Services","28.19 &nbsp;&nbsp;&nbsp;&nbsp;","154000"
"6","Mars","VA","Confectioners","27.40 1&nbsp;&nbsp;","64400"
"7","Bechtel","CA","Heavy Construction","27.00 &nbsp;&nbsp;&nbsp;&nbsp;","42500"
"8","HCA","TN","Hospitals","26.86 &nbsp;&nbsp;&nbsp;&nbsp;","180000"
"9","Ernst & Young","NY","Business Services","24.52 &nbsp;&nbsp;&nbsp;&nbsp;","135730"
"10","Publix Super Markets","FL","Grocery Stores","23.19 &nbsp;&nbsp;&nbsp;&nbsp;","145000"
"11","US Foodservice","IL","Food - Major Diversified","20.16 &nbsp;&nbsp;&nbsp;&nbsp;","27091"
"12","C&S Wholesale Grocers","NH","Food Wholesale","19.45 &nbsp;&nbsp;&nbsp;&nbsp;","17100"
"13","HE Butt Grocery","TX","Grocery Stores","15.50 2&nbsp;&nbsp;","70000"
"14","Fidelity Investments","MA","Asset Management","14.90 &nbsp;&nbsp;&nbsp;&nbsp;","44000"
"15","Cox Enterprises","GA","Entertainment - Diversified","14.59 &nbsp;&nbsp;&nbsp;&nbsp;","79660"
"16","Flying J","UT","Oil & Gas Refining & Marketing","14.32 &nbsp;&nbsp;&nbsp;&nbsp;","15900"
"17","Toys R Us","NJ","Toy & Hobby Stores","13.79 &nbsp;&nbsp;&nbsp;&nbsp;","70000"
"18","Meijer","MI","Grocery Stores","13.65 e&nbsp;&nbsp;","68800"
"19","Platinum Equity","CA","Conglomerates","13.50 2&nbsp;&nbsp;","50000"
"20","Aramark","PA","Business Services","13.20 e&nbsp;&nbsp;","250000"
"21","Enterprise Rent-A-Car","MO","Rental & Leasing Services","13.10 2&nbsp;&nbsp;","78000"
"22","TransMontaigne","CO","Oil & Gas Pipelines","12.25 e&nbsp;&nbsp;","730"
"23","JM Family Enterprises","FL","Auto Manufacturers - Major","12.20 &nbsp;&nbsp;&nbsp;&nbsp;","4700"
"24","Tenaska Energy","NE","Diversified Utilities","11.60 &nbsp;&nbsp;&nbsp;&nbsp;","624"
"25","Love's Travel Stops","OK","Lodging","11.46 &nbsp;&nbsp;&nbsp;&nbsp;","5900"
