"common name","scientific name","tnc elcode"
"amphibians","NULL","NULL"
"bullfrog","rana catesbeiana","aaabh01070"
"allegheny dusky salamander","desmognathus ochrophaeus","aaaad03070"
"american toad","bufo americanus","aaabb01020"
"atlantic coast slimy salamander","plethodon chlorobryonis","aaaad12070"
"barking treefrog","hyla gratiosa","aaabc02100"
"black mountain salamander","desmognathus welteri","aaaad03090"
"black-bellied salamander","desmognathus quadramaculatus","aaaad03080"
"blue ridge dusky salamander","desmognathus orestes","aaaad03150"
"blue ridge red salamander","pseudotriton ruber","aaaad13020"
"blue ridge spring salamander","gyrinophilus porphyriticus","aaaad06021"
"blue ridge two-lined salamander","eurycea wilderae","aaaad05150"
"brimley's chorus frog","pseudacris brimleyi","aaabc05020"
"carpenter frog","rana virgatipes","aaabh01230"
"cave salamander","eurycea lucifuga","aaaad05050"
"common mudpuppy","necturus maculosus","aaaae01040"
"cope's gray treefrog","hyla chrysoscelis","aaabc02050"
"cow knob salamander","plethodon punctatus","aaaad12140"
"cumberland plateau salamander","plethodon kentucki","aaaad12260"
"dwarf waterdog","necturus punctatus punctatus","aaaae01050"
"eastern cricket frog","acris crepitans crepitans","aaabc01012"
"eastern hellbender","cryptobranchus alleganiensis alleganiensis","aaaac01011"
"eastern mud salamander","pseudotriton montanus","aaaad13014"
"eastern narrow-mouthed toad","gastrophryne carolinensis","aaabe01010"
"eastern spadefoot","scaphiopus holbrookii","aaabf01040"
"eastern tiger salamander","ambystoma tigrinum tigrinum","aaaaa01146"
"four-toed salamander","hemidactylium scutatum","aaaad08010"
"fowler's toad","bufo fowleri","aaabb01210"
"gray treefrog","hyla versicolor","aaabc02130"
"greater siren","siren lacertina","aaaag02020"
"green salamander","aneides aeneus","aaaad01010"
"green treefrog","hyla cinerea","aaabc02060"
"jefferson salamander","ambystoma jeffersonianum","aaaaa01050"
"jordan's salamander","plethodon jordani","aaaad12090"
"kentucky spring salamander","gyrinophilus porphyriticus duryi","aaaad06023"
"lesser siren","siren intermedia","aaaag02010"
"little grass frog","pseudacris ocularis","aaabc05110"
"longtail salamander","eurycea longicauda longicauda","aaaad05040"
"mabee's salamander","ambystoma mabeei","aaaaa01070"
"many-lined salamander","stereochilus marginatus","aaaad14010"
"marbled salamander","ambystoma opacum","aaaaa01100"
"midland mud salamander","pseudotriton montanus diastictus","aaaad13011"
"mole salamander","ambystoma talpoideum","aaaaa01120"
"mountain chorus frog","pseudacris brachyphona","aaabc05010"
"new jersey chorus frog","pseudacris triseriata kalmi","aaabc05072"
"northern dusky salamander","desmognathus fuscus","aaaad03040"
"northern red salamander","pseudotriton ruber ruber","aaaad13022"
"northern redback salamander","plethodon cinereus","aaaad12020"
"northern slimy salamander","plethodon glutinosus","aaaad12070"
"northern spring peeper","pseudacris crucifer crucifer","aaabc05092"
"northern spring salamander","gyrinophilus porphyriticus porphyriticus","aaaad06024"
"northern two-lined salamander","eurycea bislineata","aaaad05010"
"oak toad","bufo quercicus","aaabb01130"
"peaks of otter salamander","plethodon hubrichti","aaaad12290"
"pickerel frog","rana palustris","aaabh01160"
"pigmy salamander","desmognathus wrighti","aaaad03100"
"pine woods treefrog","hyla femoralis","aaabc02090"
"ravine salamander","plethodon richmondi","aaaad12150"
"red-spotted newt","notophthalmus viridescens","aaaaf01030"
"seal salamander","desmognathus monticola","aaaad03060"
"shenandoah salamander","plethodon shenandoah","aaaad12170"
"shovel-nosed salamander","desmognathus marmoratus","aaaad03170"
"southern cricket frog","acris gryllus gryllus","aaabc01022"
"southern dusky salamander","desmognathus auriculatus","aaaad03020"
"southern green frog","rana clamitans melanota","aaabh01092"
"southern leopard frog","rana sphenocephala utricularius","aaabh01220"
"southern toad","bufo terrestris","aaabb01160"
"southern two-lined salamander","eurycea cirrigera","aaaad05140"
"southern zigzag salamander","plethodon ventralis","aaaad12370"
"spotted salamander","ambystoma maculatum","aaaaa01090"
"squirrel treefrog","hyla squirella","aaabc02120"
"three-lined salamander","eurycea guttolineata","aaaad05290"
"two-toed amphiuma","amphiuma means","aaaab01010"
"upland chorus frog","pseudacris triseriata feriarum","aaabc05071"
"wehrle's salamander","plethodon wehrlei","aaaad12220"
"weller's salamander","plethodon welleri","aaaad12230"
"white-spotted slimy salamander","plethodon cylindraceus","aaaad00000"
"wood frog","rana sylvatica","aaabh01200"
"yonahlossee salamander","plethodon yonahlossee","aaaad12240"
"birds","&nbsp;","&nbsp;"
"acadian flycatcher","empidonax virescens","abpae33020"
"alder flycatcher","empidonax alnorum","abpae33030"
"american avocet","recurvirostra americana","abnnd02010"
"american bittern","botaurus lentiginosus","abnga01020"
"american black duck","anas rubripes","abnjb10040"
"american coot","fulica americana","abnme14020"
"american crow","corvus brachyrhynchos","abpav10010"
"american goldfinch","carduelis tristis","abpby06110"
"american kestrel","falco sparverius sparverius","abnkd06020"
"american oystercatcher","haematopus palliatus","abnnc01010"
"american pipit","anthus rubescens","abpbm02050"
"american redstart","setophaga ruticilla","abpbx06010"
"american robin","turdus migratorius","abpbj20170"
"american wigeon","anas americana","abnjb10180"
"american woodcock","scolopax minor","abnnf19020"
"anhinga","anhinga anhinga","abnfe01010"
"appalachian bewick's wren","thryomanes bewickii altus","abpbg07011"
"arctic peregrine falcon","falco peregrinus tundrius","abnkd06074"
"bachman's sparrow","aimophila aestivalis","abpbx91050"
"bald eagle","haliaeetus leucocephalus leucocephalus","abnkc10010"
"baltimore oriole","icterus galbula","abpbxb9190"
"bank swallow","riparia riparia","abpau08010"
"barn owl","tyto alba pratincola","abnsa01010"
"barn swallow","hirundo rustica","abpau09030"
"barred owl","strix varia","abnsb12020"
"bay-breasted warbler","dendroica castanea","abpbx03220"
"bell's vireo","vireo bellii","abpbw01110"
"belted kingfisher","ceryle alcyon","abnxd01020"
"black rail","laterallus jamaicensis","abnme03040"
"black scoter","melanitta nigra americana","abnjb17010"
"black skimmer","rynchops niger","abnnm14010"
"black tern","chlidonias niger","abnnm10020"
"black vulture","coragyps atratus","abnka01010"
