"Wikipage revision ID","label","Wikipage page ID"
"672426840","Amblymora pseudoconferta","47165138"
"672427038","Amblymora rufula","47165179"
"672427235","Amblymora samarensis","47165180"
"672427466","Amblymora spinipennis","47165140"
"672519365","Amblymora strandiella","47165183"
"672519496","Amblymora uniformis","47165196"
"672519693","Amblymora v-flava","47165201"
"680652253","Amblyocarenum nuragicus","47518909"
"674361869","Amblypalpis olivierella","47413991"
"674390161","Amblypalpis tamaricella","47413994"
"","Among Men",""
"672406787","Amphipterygium","47296069"
"683149389","Anacampsinae","47186192"
"672519851","Anacasta biplagiata","47165246"
"672519998","Anacasta conspersa","47165247"
"670338130","Anadara diluvii","47175674"
"672520156","Anaespogonius fulvus","47165258"
"672520286","Anaespogonius piceonigris","47165261"
"672520456","Anaesthetis anatolica","47165274"
"672520611","Anaesthetis confossicollis","47165277"
