"Wikipage page ID","Wikipage revision ID","label"
"38406135","643142878","Davenport Glacier"
"","","Davidson Glacier"
"37397060","520280678","Deming Glacier (Washington)"
"36444567","642993877","Glacier Diller"
"","","Dinwoody Glacier"
"","","Dixon Glacier"
"38773979","643310436","Dome (gletsjer)"
"38207489","643310620","Douglas Glacier (Washington)"
"","","Downer Glacier"
"","","Downs Glacier"
"","","DuNoir Glacier"
"37679962","607522602","Dusty Glacier"
"","","Easton Glacier"
"38960067","548369939","Foraker Glacier"
"38475419","643310822","Forbidden Glacier"
"38207648","643310978","Fremont Glacier (Washington)"
"","","Fryingpan Glacier"
"","","Gannett Glacier"
"36696460","642977334","نهر غليسان الجليدي"
"37199062","642843035","Goethe Glacier"
