"label","Geburtsdatum"
"Charles Nirmalanathan","1975-11-24"
"Chathura Senarathne",""
"Cheng Li Hui",""
"D. Siddarthan",""
"Dushmantha Mithrapala",""
"Fatimah Lateef",""
"Frederick Hewitt",""
"G. Sirinesan","1960-07-01"
"Hind Al-Fayez",""
"Jayampathy Wickramaratne",""
"Karu Paranawithana","1968-06-02"
"M. A. M. Maharoof","1957-04-25"
"M. E. H. Maharoof","1939-01-05"
"M. E. H. Mohamed Ali","1925-03-27"
"M. H. M. Navavi","1946-08-03"
"M. Thilakarajah","1973-09-29"
"M. Velu Kumar","1973-01-16"
"Malik Samarawickrama",""
"Mansoor Ibrahim",""
"Maxwell Kofi Jumah",""
