"name","latest version","description"
"0verkill","0.16-1","2d ascii-art shooter"
"2mandvd","1.3.5-1005","utility for creating video dvd media"
"2mandvd-mac","1.3.5-1004","utility for creating video dvd media"
"3dpong","0.4-12","pong clone"
"3to2-py27","1.0-1","refactor python 3.x syntax into 2.x syntax"
"3to2-py31","1.0-1","refactor python 3.x syntax into 2.x syntax"
"3to2-py32","1.0-1","refactor python 3.x syntax into 2.x syntax"
"4ti2","1.3.2-4","software for algebra geometry combinatorics"
"4ti2-dev","1.3.2-4","software for algebra geometry combinatorics"
"6tunnel","0.11rc2-1001","tunneling for apps that don't speak ipv6"
"9base","6-2","plan 9 base tools"
"a2ps","4.13-3","any to postscript filter"
"a2ps-ja","4.13c-6","any to postscript filter japanese support"
"a52dec","0.7.4-2","atsc a/52 stream decoder"
"a52dec-dev","0.7.4-2","atsc a/52 stream decoder"
"a52dec-shlibs","0.7.4-2","atsc a/52 stream decoder"
"aalib","1.4rc5-1025","ascii art library"
"aalib-bin","1.4rc5-1025","ascii art library"
"aalib-shlibs","1.4rc5-1025","ascii art library"
"abcde","2.2.6-1","&quot;a better cd encoder&quot;: rips cds to ogg/mp3"
"abcm2ps","3.7.21-1","converts abc to postscript sheet music"
"abe","1.1-3","abe's amazing adventure - jump 'n run"
"abiword","2.8.4-4","open-source word processor"
"abiword-docs","2.8.4-1","helpfiles for abiword"
"abiword2.8-dev","2.8.4-4","open-source word processor"
"abiword2.8-shlibs","2.8.4-4","open-source word processor"
"abook","0.5.6-1003","text-based address-book for use with mutt"
"abs","0.908-13","opensource spreadsheet"
"acct","6.3.5-6","gnu accounting utilities package"
"acetoneiso2","1.96-1005","cd/dvd image file manager"
"ack","1.94-1","grep-like text finder"
"acme","0.91-1","6502 cross-assembler"
"acme-metasyntactic-pm","0.99-1","themed metasyntactic variable-names"
"acoc","0.7.1-1","arbitrary command output colourer"
"acqua-graphite","3.2-1023","kde - aqua-like kde theme"
"actionmailer-rb18","2.0.2-1","mail service classes"
