"country","capital","latitude","longitude"
"afghanistan","kabul","34&deg;28'n","69&deg;11'e"
"albania","tirane","41&deg;18'n","19&deg;49'e"
"algeria","algiers","36&deg;42'n","03&deg;08'e"
"american  samoa","pago pago","14&deg;16's","170&deg;43'w"
"andorra","andorra la vella","42&deg;31'n","01&deg;32'e"
"angola","luanda","08&deg;50's","13&deg;15'e"
"antigua and barbuda","w. indies","17&deg;20'n","61&deg;48'w"
"argentina","buenos aires","36&deg;30's","60&deg;00'w"
"armenia","yerevan","40&deg;10'n","44&deg;31'e"
"aruba","oranjestad","12&deg;32'n","70&deg;02'w"
"australia","canberra","35&deg;15's","149&deg;08'e"
"austria","vienna","48&deg;12'n","16&deg;22'e"
"azerbaijan","baku","40&deg;29'n","49&deg;56'e"
"bahamas","nassau","25&deg;05'n","77&deg;20'w"
"bahrain","manama","26&deg;10'n","50&deg;30'e"
"bangladesh","dhaka","23&deg;43'n","90&deg;26'e"
"barbados","bridgetown","13&deg;05'n","59&deg;30'w"
"belarus","minsk","53&deg;52'n","27&deg;30'e"
"belgium","brussels","50&deg;51'n","04&deg;21'e"
"belize","belmopan","17&deg;18'n","88&deg;30'w"
"benin","porto-novo (constitutional cotonou (seat of gvnt)","06&deg;23'n","02&deg;42'e"
"bhutan","thimphu","27&deg;31'n","89&deg;45'e"
"bolivia","la paz (adm.)/sucre (legislative)","16&deg;20's","68&deg;10'w"
"bosnia and herzegovina","sarajevo","43&deg;52'n","18&deg;26'e"
"botswana","gaborone","24&deg;45's","25&deg;57'e"
"brazil","brasilia","15&deg;47's","47&deg;55'w"
"british virgin islands","road town","18&deg;27'n","64&deg;37'w"
"brunei darussalam","bandar seri begawan","04&deg;52'n","115&deg;00'e"
"bulgaria","sofia","42&deg;45'n","23&deg;20'e"
"burkina faso","ouagadougou","12&deg;15'n","01&deg;30'w"
"burundi","bujumbura","03&deg;16's","29&deg;18'e"
"cambodia","phnom penh","11&deg;33'n","104&deg;55'e"
"cameroon","yaounde","03&deg;50'n","11&deg;35'e"
"canada","ottawa","45&deg;27'n","75&deg;42'w"
"cape verde","praia","15&deg;02'n","23&deg;34'w"
"cayman islands","george town","19&deg;20'n","81&deg;24'w"
"central african republic","bangui","04&deg;23'n","18&deg;35'e"
"chad","n'djamena","12&deg;10'n","14&deg;59'e"
"chile","santiago","33&deg;24's","70&deg;40'w"
"china","beijing","39&deg;55'n","116&deg;20'e"
"colombia","bogota","04&deg;34'n","74&deg;00'w"
"comros","moroni","11&deg;40's","43&deg;16'e"
"congo","brazzaville","04&deg;09's","15&deg;12'e"
"costa rica","san jose","09&deg;55'n","84&deg;02'w"
"cote d'ivoire","yamoussoukro","06&deg;49'n","05&deg;17'w"
"croatia","zagreb","45&deg;50'n","15&deg;58'e"
"cuba","havana","23&deg;08'n","82&deg;22'w"
"cyprus","nicosia","35&deg;10'n","33&deg;25'e"
"czech republic","prague","50&deg;05'n","14&deg;22'e"
"democratic people's republic of","p'yongyang","39&deg;09'n","125&deg;30'e"
"democratic republic of the congo","kinshasa","04&deg;20's","15&deg;15'e"
"denmark","copenhagen","55&deg;41'n","12&deg;34'e"
"djibouti","djibouti","11&deg;08'n","42&deg;20'e"
"dominica","roseau","15&deg;20'n","61&deg;24'w"
"dominica republic","santo domingo","18&deg;30'n","69&deg;59'w"
"east timor","dili","08&deg;29's","125&deg;34'e"
"ecuador","quito","00&deg;15's","78&deg;35'w"
"egypt","cairo","30&deg;01'n","31&deg;14'e"
"el salvador","san salvador","13&deg;40'n","89&deg;10'w"
"equatorial guinea","malabo","03&deg;45'n","08&deg;50'e"
"eritrea","asmara","15&deg;19'n","38&deg;55'e"
"estonia","tallinn","59&deg;22'n","24&deg;48'e"
"ethiopia","addis ababa","09&deg;02'n","38&deg;42'e"
"falkland islands (malvinas)","stanley","51&deg;40's","59&deg;51'w"
"faroe islands","torshavn","62&deg;05'n","06&deg;56'w"
"fiji","suva","18&deg;06's","178&deg;30'e"
"finland","helsinki","60&deg;15'n","25&deg;03'e"
"france","paris","48&deg;50'n","02&deg;20'e"
"french guiana","cayenne","05&deg;05'n","52&deg;18'w"
"french polynesia","papeete","17&deg;32's","149&deg;34'w"
"gabon","libreville","00&deg;25'n","09&deg;26'e"
"gambia","banjul","13&deg;28'n","16&deg;40'w"
"georgia","t'bilisi","41&deg;43'n","44&deg;50'e"
"germany","berlin","52&deg;30'n","13&deg;25'e"
"ghana","accra","05&deg;35'n","00&deg;06'w"
