"Sterbeort","death place","label"
"","","Harry Halpern"
"","","Myokyo-ni"
"http://dbpedia.org/resource/Medina","http://dbpedia.org/resource/Medina","محمد بن الحنفية"
"","","Achan Sobin S. Namto"
"","","Enkū"
"","","Hatthaka of Alavi"
"","","Mindrolling Trichen"
"","","ويراثو"
"","","Tampalawela Dhammaratana"
"","","Adam Payne"
"","","Charles Tenshin Fletcher"
"","","Phra Dhammavisuddhikavi"
"","","Sri Sacchidananda Bharati I"
"","","Keidō Fukushima"
"","","Maurine Stuart"
"","","Albert McElroy"
"","","Nanamoli Bhikkhu"
"","","Dragpa Gyeltshen (Zimkhang Gongma)"
