"death place","birth place","label"
"","http://dbpedia.org/resource/Pozzallo","Giorgio Demetrio Gallaro"
"","","Girish Dattatray Mahajan"
"","http://dbpedia.org/resource/New_Brunswick","Gisèle Lagacé"
"","http://dbpedia.org/resource/Bologna","Giulio Gallazzi"
"","","Giuseppe Modugno"
"India","India","Gopal Prasad Vyas"
"","","Goran Ješić"
"","","Gorilla Chilla"
"","","Grace Randolph"
"","","Grady Champion"
"","http://dbpedia.org/resource/Dallas","Gray Malin"
"","Los Angeles","Greg Barron"
"","","Greg Clark"
"","http://dbpedia.org/resource/Oregon","Griffon Ramsey"
"","","Groundislava"
