"Questions List","Answers"
"Favourite accent(s)?","12"
"What does stifling mean?","12"
"Want to go skiing. Where would you recommend?","11"
"What is the country Turkey like?","11"
"Greek traditions?","12"
"Does anyone know any Polish first names?","12"
"I saw a sign on a406 saying tour de france in london on 8 july  is this true?","12"
"Is Croatia cheap or is it the same as UK?","12"
"What kind of currency does Poland use? The Euro or the Zloty?","12"
"How much is 250 old turkish lira worth?","12"
