"french","hotbird 1 2 3 4 6","1","123 sat       / 69xtv","tv       digital frei"
"NULL","NULL","2","ab       sat passions promo","tv       digital frei"
"NULL","NULL","3","ab       sat promotional","tv       digital frei"
"NULL","NULL","4","arte french","tv       digital frei"
"NULL","NULL","5","beur tv","tv       digital frei"
"NULL","NULL","6","canal club","tv       digital frei"
"NULL","NULL","7","dctv","tv       digital frei"
"NULL","NULL","8","euronews","tv       digital frei"
"NULL","NULL","9","euronews","tv       digital frei"
"NULL","NULL","10","fashion tv","tv       digital frei"
"NULL","NULL","11","liberty tv","tv       digital frei"
"NULL","NULL","12","mta 2","tv       digital frei"
"NULL","NULL","13","maharaji","tv       digital frei"
"NULL","NULL","14","multivision       noos","tv       digital frei"
"NULL","NULL","15","piwi","tv       digital frei"
"NULL","NULL","16","rct       - rainbow channel tv / italiasat","tv       digital frei"
"NULL","NULL","17","sailing       channel","tv       digital frei"
"NULL","NULL","18","tfj       (television francaise juive)","tv       digital frei"
"NULL","NULL","19","tv 5 europe","tv       digital frei"
"NULL","NULL","20","tv 5 fbs","tv       digital frei"
"NULL","NULL","21","tv 8       mont blanc","tv       digital frei"
"NULL","NULL","22","tele       lumiere","tv       digital frei"
"NULL","NULL","23","ab moteurs","tv       digital codiert"
"NULL","NULL","24","ab1","tv       digital codiert"
"NULL","NULL","25","action","tv       digital codiert"
"NULL","NULL","26","animaux","tv       digital codiert"
"NULL","NULL","27","arte","tv       digital codiert"
"NULL","NULL","28","berbere tv","tv       digital codiert"
"NULL","NULL","29","bloomberg       tv france","tv       digital codiert"
"NULL","NULL","30","boomerang","tv       digital codiert"
"NULL","NULL","31","cfi peco       pro","tv       digital codiert"
"NULL","NULL","32","chaine       histoire","tv       digital codiert"
"NULL","NULL","33","chasse       &amp; peche","tv       digital codiert"
"NULL","NULL","34","cine box","tv       digital codiert"
"NULL","NULL","35","cine comic","tv       digital codiert"
"NULL","NULL","36","cine fx","tv       digital codiert"
"NULL","NULL","37","cine polar","tv       digital codiert"
"NULL","NULL","38","don&acute;t       panic tv","tv       digital codiert"
"NULL","NULL","39","espn       classic sports","tv       digital codiert"
"NULL","NULL","40","encyclopedia","tv       digital codiert"
"NULL","NULL","41","english       premier league promo","tv       digital codiert"
"NULL","NULL","42","equida pro","tv       digital codiert"
"NULL","NULL","43","equidia","tv       digital codiert"
"NULL","NULL","44","equidia       alpha","tv       digital codiert"
"NULL","NULL","45","equidia       pro 1","tv       digital codiert"
"NULL","NULL","46","escales","tv       digital codiert"
"NULL","NULL","47","eureka","tv       digital codiert"
"NULL","NULL","48","eurosport","tv       digital codiert"
"NULL","NULL","49","eurosport       czech","tv       digital codiert"
