"rating","company","industry","temkin customer service ratings (tcsr)","company tcsr vs industry tcsr"
"1","usaa","insurance carrier","67%","21"
"2","edward jones","investment firm","65%","16"
"3","courtyard by marriott","hotel chain","64%","13"
"3","sam's club","retailer","64%","10"
"5","lowe's","retailer","63%","10"
"5","kohl's","retailer","63%","10"
"5","marriott","hotel chain","63%","11"
"8","hyatt","hotel chain","62%","11"
"8","bjs wholesale club","retailer","62%","9"
"8","costco","retailer","62%","9"
"11","walgreens","retailer","61%","7"
"11","vanguard","investment firm","61%","11"
"13","southwest airlines","airline","59%","17"
"13","old navy","retailer","59%","6"
"13","hilton","hotel chain","59%","7"
"16","regions","bank","57%","10"
"16","hampton inn","hotel chain","57%","4"
"17","charles schwab","investment firm","59%","5"
"18","target","retailer","56%","2"
"18","rite aid","retailer","56%","2"
"20","discover","credit card issuer","55%","16"
"20","a credit union","bank","55%","8"
"20","fidelity investments","investment firm","55%","5"
"20","american express","credit card issuer","55%","16"
"20","jcpenney","retailer","55%","1"
"25","macy's","retailer","54%","1"
"25","barnes &nbsp; noble","retailer","54%","0"
"27","ebay","retailer","53%","-1"
"27","jetblue airlines","airline","53%","10"
"27","state farm","insurance carrier","53%","6"
"30","usaa","bank","52%","5"
"31","liberty mutual","insurance carrier","51%","5"
"31","wal-mart","retailer","51%","-2"
"31","best western","hotel chain","51%","0"
"34","sears","retailer","50%","-3"
"34","staples","retailer","50%","-3"
"34","american family","insurance carrier","50%","4"
"34","holiday inn express","hotel chain","50%","-1"
"34","a credit union","investment firm","50%","0"
"34","cvs","retailer","50%","-4"
"34","metlife","insurance carrier","50%","3"
"41","apple","computer maker","49%","11"
"40","target","retailer","53%","-4"
"41","home depot","retailer","49%","-4"
"41","borders","retailer","49%","-5"
"44","td ameritrade","investment firm","48%","-1"
"44","ing direct","investment firm","48%","-2"
"46","toys 'r' us","retailer","47%","-6"
"46","charles schwab","investment firm","47%","-3"
"46","nationwide","insurance carrier","47%","0"
"46","td bank","bank","47%","-1"
"46","comfort inn","hotel chain","47%","-5"
"51","tracfone","wireless carrier","46%","8"
"51","office depot","retailer","46%","-7"
"51","best buy","retailer","46%","-7"
"51","progressive","insurance carrier","46%","-1"
"55","suntrust bank","bank","45%","-2"
"55","wells fargo advisors","investment firm","45%","-5"
"55","holiday inn","hotel chain","45%","-7"
"55","medicare","health plan","45%","12"
"55","days inn","hotel chain","45%","-7"
"60","aaa","insurance carrier","44%","-2"
"60","sony","computer maker","44%","5"
"60","geico","insurance carrier","44%","-3"
"63","cox","internet service provider","43%","14"
"63","kaiser permanente","health plan","43%","10"
"63","citziens","bank","43%","-5"
"66","the hartford","insurance carrier","42%","-4"
"66","united airlines","airline","42%","0"
"66","chase","bank","42%","-5"
"66","21st century","insurance carrier","42%","-5"
"70","continental airlines","airline","41%","-1"
"70","allstate","insurance carrier","41%","-6"
"70","sprint","wireless carrier","41%","2"
"70","wells fargo/wachovia bank","bank","41%","-7"
"70","travelers","insurance carrier","41%","-6"
"75","kmart","retailer","40%","-13"
"75","bank of america","bank","40%","-7"
"75","chase","credit card issuer","40%","1"
"75","pnc","bank","40%","-7"
"75","ing direct","bank","40%","-7"
"80","e*trade","investment firm","39%","-10"
"80","fifth third","bank","39%","-8"
"80","t-mobile","wireless carrier","39%","1"
"80","dell","computer maker","39%","1"
"80","bright house","tv service provider","39%","13"
"80","verizon wireless","wireless carrier","39%","0"
"86","capital one","bank","38%","-9"
"86","at&amp;t","tv service provider","38%","13"
"86","optimum  (io) cablevision","tv service provider","38%","12"
"86","hewlett-packard","computer maker","38%","-1"
"90","at&amp;t","wireless carrier","37%","-1"
"90","united healthcare","health plan","37%","4"
"92","acer","computer maker","36%","-2"
"92","wells fargo","credit card issuer","36%","-3"
"94","road runner","internet service provider","35%","6"
"94","us bancorp","bank","35%","-13"
"96","emachines","computer maker","34%","-4"
"96","compaq","computer maker","34%","-4"
"96","bank of america","credit card issuer","34%","-5"
"96","at&amp;t","internet service provider","34%","4"
"100","humana","health plan","33%","0"
"100","american airlines","airline","33%","-10"
"100","directv","tv service provider","33%","7"
"100","citibank","bank","33%","-15"
"104","merrill lynch","investment firm","32%","-18"
"104","cox communication","tv service provider","32%","7"
"106","farmers'","insurance carrier","31%","-15"
"106","qwest","internet service provider","31%","2"
"106","citigroup","credit card issuer","31%","-8"
"106","radioshack","retailer","31%","-22"
"110","toshiba","computer maker","30%","-8"
"110","capital one","credit card issuer","30%","-9"
"112","verizon","internet service provider","29%","0"
"112","aol","internet service provider","29%","0"
"112","delta/northwest airlines","airline","29%","-14"
"112","medicaid","health plan","29%","-4"
"116","cablevision","internet service provider","28%","-1"
"117","time warner cable","tv service provider","27%","2"
"118","gateway","computer maker","25%","-13"
"118","hsbc","bank","25%","-22"
"118","aetna","health plan","25%","-8"
"121","dish network/echostar","tv service provider","24%","-2"
"121","blue shield of california","health plan","24%","-9"
"123","anthem (bcbs)","health plan","23%","-10"
"124","cigna","health plan","21%","-12"
"125","hsbc","credit card issuer","20%","-19"
"126","charter communications","internet service provider","19%","-10"
"127","comcast","internet service provider","18%","-11"
"128","charter communications","tv service provider","26%","-10"
"129","comcast","tv service provider","12%","-13"
