"label","Link from a Wikipage to an external page","Wikipage page ID","Wikipage revision ID"
"Hammersonic Festival","http://www.hammersonic.com","45474561","680008835"
"Nordic Student Singers' Summit","","",""
"Beverley Folk Festival","","",""
"Gods of Metal","","",""
"Mayhem Festival 2015","","45896228","674877714"
"Park Live Festival","","38944801","673804008"
"TFF Rudolstadt","","",""
"National Folk Festival (UK)","","",""
"Queensland Music Festival","","",""
"Miljoona Rock","","",""
"Born Too Late Festival","","",""
"Boundary Waters Blues Festival","","",""
"Cradle of Accordions Festival","","",""
"Isotopia Festival","","",""
"Miramichi Folksong Festival","","",""
"Pjesma Mediterana","","",""
"RedGorilla","","17911057",""
"Rogers Picnic","","",""
"Rootz: The Green City Music Festival","","",""
"Zappanale","","",""
