"Wikipage revision ID","Wikipage page ID","Link from a Wikipage to an external page","label"
"675949769","26323545","http://www.kew.org/plants-fungi/Salix-x-sepulcralis.htm","صفصاف باكي"
"","","","Vriesea 'Phillip'"
"","","","Neoregelia 'Lava'"
"","","","Ulmus americana 'Maine'"
"","","","Ulmus minor 'Picturata'"
"653124842","5373663","","Trachycarpus fortunei 'Wagnerianus'"
"679292220","5589242","http://ndb.nal.usda.gov/ndb/foods/show/3239","Crookneck squash"
"","","","Hemerocallis 'Duke of Durham'"
"","","","Ginger Gold"
"","","","Gros Michel banana"
"","","","Naga Morich"
"","","","NuMex Twilight"
"","","","Rosa 'Queen Sirikit'"
"","","","Ulmus minor 'Stricta'"
"","","","Ulmus × brandisiana"
"","","","دردار دامبياري"
"","","","دردار دوفسي"
"","","","Ulmus × hollandica 'Smithii'"
"","","","Goldulme"
"","","","Aechmea 'Covata Too'"
