"Country","Currency","Selling TT &amp; OD","Buying TT Clear","Buying OD/T.CHQ"
"USA","UD$","71.7","71.5","71.31"
"United Kingdom","Pound","141.59","141.2","140.69"
"Euro","Euro","112.54","112.23","111.87"
"Canada","C$","70.46","70.26","70.08"
"Switzerland","Swiss","69.75","69.55","69.37"
"Australia","Aus$","68.47","68.28","68.1"
"Sweden","Kroner","11.95","11.92","11.89"
"Japan","Yen","0.6694","0.6675","0.6658"
"Norway","Kroner","14.1","14.06","14.03"
"Singapore","Sing$","52.58","52.43","52.29"
"Denmark","Kroner","15.09","15.05","15.01"
"Saudi Arabia","Riyal","19.12","19.06","19.01"
"Hongkong","HK$","9.19","9.16","9.14"
"China","Yuan","10.45","10.42","10.4"
"Kuwait","Dinar","270.32","269.57","268.86"
"Malasia","Ringgit","21.97","21.91","21.85"
"Newzealand","NZ$","53.91","53.76","52.62"
"Qatar","Riyal","19.69","19.64","19.59"
"UAE","Dirham","19.52","19.47","?"
