"label","Geburtsort","birth place"
"Amanda Zahui B.","http://dbpedia.org/resource/Stockholm","http://dbpedia.org/resource/Stockholm"
"Amarilli Nizza","",""
"Amber Kirk-Ford","",""
"Ambroise Abdo","",""
"Amir Alexander","http://dbpedia.org/resource/Rehovot","http://dbpedia.org/resource/Rehovot"
"余澎杉","","Singapore"
"Amrit Maghera","",""
"Amy Williams (Neighbours)","",""
"Analyn Barro","http://dbpedia.org/resource/Leyte","Bacolod City"
"Ananda Shankar Jayant","http://dbpedia.org/resource/Chennai","http://dbpedia.org/resource/Chennai"
"Anar Alizada","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/resource/Azerbaijan"
"Anastasia Lin","",""
"Anders Hvenare","",""
"Anderson East","http://dbpedia.org/resource/Alabama",""
"Andra Day","",""
"Andre Foxxe","",""
