"#","#","Ply","Move","Equity"
"&nbsp;","1","M","9/5","-0.563"
"&nbsp;","&nbsp;","&nbsp;","0.0%&nbsp;&nbsp; 0.0%&nbsp;&nbsp;32.2%&nbsp;&nbsp;&nbsp;&nbsp;67.8%&nbsp;&nbsp; 0.0%&nbsp;&nbsp; 0.0%","0.0%&nbsp;&nbsp; 0.0%&nbsp;&nbsp;32.2%&nbsp;&nbsp;&nbsp;&nbsp;67.8%&nbsp;&nbsp; 0.0%&nbsp;&nbsp; 0.0%"
"&nbsp;","&nbsp;","&nbsp;","95% confidence interval:                  - money cubeless eq.: -0.356 ?005.               Rollout settings:                  Truncated rollout depth 10                  144 games (equiv. 129652 games)                  played 2-ply (huge)                  seed 8711 with race database.","95% confidence interval:                  - money cubeless eq.: -0.356 ?005.               Rollout settings:                  Truncated rollout depth 10                  144 games (equiv. 129652 games)                  played 2-ply (huge)                  seed 8711 with race database."
"*","2","M","11/8 3/2","-0.572 (-0.009)"
"&nbsp;","&nbsp;","&nbsp;","0.0%&nbsp;&nbsp; 0.0%&nbsp;&nbsp;31.9%&nbsp;&nbsp;&nbsp;&nbsp;68.1%&nbsp;&nbsp; 0.0%&nbsp;&nbsp; 0.0%","0.0%&nbsp;&nbsp; 0.0%&nbsp;&nbsp;31.9%&nbsp;&nbsp;&nbsp;&nbsp;68.1%&nbsp;&nbsp; 0.0%&nbsp;&nbsp; 0.0%"
"&nbsp;","&nbsp;","&nbsp;","95% confidence interval:                  - money cubeless eq.: -0.363 ?006.               Rollout settings:                  Truncated rollout depth 10                  144 games (equiv. 105710 games)                  played 2-ply (huge)                  seed 8711 with race database.","95% confidence interval:                  - money cubeless eq.: -0.363 ?006.               Rollout settings:                  Truncated rollout depth 10                  144 games (equiv. 105710 games)                  played 2-ply (huge)                  seed 8711 with race database."
"&nbsp;","3","M","9/6 3/2","-0.573 (-0.009)"
"&nbsp;","&nbsp;","&nbsp;","0.0%&nbsp;&nbsp; 0.0%&nbsp;&nbsp;31.8%&nbsp;&nbsp;&nbsp;&nbsp;68.2%&nbsp;&nbsp; 0.0%&nbsp;&nbsp; 0.0%","0.0%&nbsp;&nbsp; 0.0%&nbsp;&nbsp;31.8%&nbsp;&nbsp;&nbsp;&nbsp;68.2%&nbsp;&nbsp; 0.0%&nbsp;&nbsp; 0.0%"
"&nbsp;","&nbsp;","&nbsp;","95% confidence interval:                  - money cubeless eq.: -0.364 ?006.               Rollout settings:                  Truncated rollout depth 10                  144 games (equiv. 85169 games)                  played 2-ply (huge)                  seed 8711 with race database.","95% confidence interval:                  - money cubeless eq.: -0.364 ?006.               Rollout settings:                  Truncated rollout depth 10                  144 games (equiv. 85169 games)                  played 2-ply (huge)                  seed 8711 with race database."
"&nbsp;","4","M","9/7 6/5 3/2","-0.573 (-0.010)"
"&nbsp;","&nbsp;","&nbsp;","0.0%&nbsp;&nbsp; 0.0%&nbsp;&nbsp;31.8%&nbsp;&nbsp;&nbsp;&nbsp;68.2%&nbsp;&nbsp; 0.0%&nbsp;&nbsp; 0.0%","0.0%&nbsp;&nbsp; 0.0%&nbsp;&nbsp;31.8%&nbsp;&nbsp;&nbsp;&nbsp;68.2%&nbsp;&nbsp; 0.0%&nbsp;&nbsp; 0.0%"
"&nbsp;","&nbsp;","&nbsp;","95% confidence interval:                  - money cubeless eq.: -0.364 ?005.               Rollout settings:                  Truncated rollout depth 10                  144 games (equiv. 111801 games)                  played 2-ply (huge)                  seed 8711 with race database.","95% confidence interval:                  - money cubeless eq.: -0.364 ?005.               Rollout settings:                  Truncated rollout depth 10                  144 games (equiv. 111801 games)                  played 2-ply (huge)                  seed 8711 with race database."
"&nbsp;","5","M","11/8 6/5","-0.577 (-0.013)"
"&nbsp;","&nbsp;","&nbsp;","0.0%&nbsp;&nbsp; 0.0%&nbsp;&nbsp;31.7%&nbsp;&nbsp;&nbsp;&nbsp;68.3%&nbsp;&nbsp; 0.0%&nbsp;&nbsp; 0.0%","0.0%&nbsp;&nbsp; 0.0%&nbsp;&nbsp;31.7%&nbsp;&nbsp;&nbsp;&nbsp;68.3%&nbsp;&nbsp; 0.0%&nbsp;&nbsp; 0.0%"
"&nbsp;","&nbsp;","&nbsp;","95% confidence interval:                  - money cubeless eq.: -0.366 ?006.               Rollout settings:                  Truncated rollout depth 10                  144 games (equiv. 92670 games)                  played 2-ply (huge)                  seed 8711 with race database.","95% confidence interval:                  - money cubeless eq.: -0.366 ?006.               Rollout settings:                  Truncated rollout depth 10                  144 games (equiv. 92670 games)                  played 2-ply (huge)                  seed 8711 with race database."
"&nbsp;","6","3","10/8 6/5 3/2","-0.527 ( 0.036)"
"&nbsp;","&nbsp;","&nbsp;","0.0%&nbsp;&nbsp; 0.0%&nbsp;&nbsp;33.7%&nbsp;&nbsp;&nbsp;&nbsp;66.3%&nbsp;&nbsp; 0.0%&nbsp;&nbsp; 0.0%","0.0%&nbsp;&nbsp; 0.0%&nbsp;&nbsp;33.7%&nbsp;&nbsp;&nbsp;&nbsp;66.3%&nbsp;&nbsp; 0.0%&nbsp;&nbsp; 0.0%"
